,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
1,KNeighborsDist_BAG_L1,0.9411764705882353,0.896551724137931,accuracy,0.0039975643157958984,0.003001689910888672,0.006997346878051758,0.0039975643157958984,0.003001689910888672,0.006997346878051758,1,True,2
0,KNeighborsUnif_BAG_L1,0.9411764705882353,0.7011494252873564,accuracy,0.0035047531127929688,0.31450343132019043,0.0049970149993896484,0.0035047531127929688,0.31450343132019043,0.0049970149993896484,1,True,1
2,LightGBM_DSTL,0.8823529411764706,1.0,soft_log_loss,0.008529424667358398,0.001001596450805664,1.2957699298858643,0.008529424667358398,0.001001596450805664,1.2957699298858643,1,True,161
5,NeuralNetTorch_2_DSTL,0.8823529411764706,1.0,soft_log_loss,0.022209882736206055,0.014997482299804688,5.910243988037109,0.022209882736206055,0.014997482299804688,5.910243988037109,1,True,169
6,WeightedEnsemble_2_L2_DSTL,0.8823529411764706,1.0,soft_log_loss,0.024204492568969727,0.01599597930908203,5.944885015487671,0.001994609832763672,0.0009984970092773438,0.03464102745056152,2,True,170
7,LightGBM_r42_BAG_L1,0.8823529411764706,0.9080459770114943,accuracy,0.02448272705078125,0.011096477508544922,3.1359341144561768,0.02448272705078125,0.011096477508544922,3.1359341144561768,1,True,108
10,LightGBM_r143_BAG_L1,0.8823529411764706,0.9080459770114943,accuracy,0.029492616653442383,0.010106086730957031,2.666860342025757,0.029492616653442383,0.010106086730957031,2.666860342025757,1,True,57
12,XGBoost_r89_BAG_L1,0.8823529411764706,0.9080459770114943,accuracy,0.17423582077026367,0.02637958526611328,3.0127904415130615,0.17423582077026367,0.02637958526611328,3.0127904415130615,1,True,29
3,LightGBM_BAG_L1,0.8823529411764706,0.896551724137931,accuracy,0.013534307479858398,0.009004831314086914,2.6956372261047363,0.013534307479858398,0.009004831314086914,2.6956372261047363,1,True,5
11,LightGBM_r30_BAG_L1,0.8823529411764706,0.896551724137931,accuracy,0.044260263442993164,0.0073146820068359375,3.422203540802002,0.044260263442993164,0.0073146820068359375,3.422203540802002,1,True,69
4,LightGBM_r121_BAG_L1,0.8823529411764706,0.8850574712643678,accuracy,0.018512487411499023,0.009832382202148438,2.922541618347168,0.018512487411499023,0.009832382202148438,2.922541618347168,1,True,87
8,LightGBM_r15_BAG_L1,0.8823529411764706,0.8735632183908046,accuracy,0.025136232376098633,0.012685775756835938,3.6792962551116943,0.025136232376098633,0.012685775756835938,3.6792962551116943,1,True,50
9,LightGBM_r131_BAG_L1,0.8823529411764706,0.8735632183908046,accuracy,0.02864861488342285,0.009899139404296875,2.6864006519317627,0.02864861488342285,0.009899139404296875,2.6864006519317627,1,True,16
15,NeuralNetTorch_DSTL,0.8235294117647058,1.0,soft_log_loss,0.017481327056884766,0.02063298225402832,15.209922790527344,0.017481327056884766,0.02063298225402832,15.209922790527344,1,True,164
18,WeightedEnsemble_L2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.019481897354125977,0.021633148193359375,15.24804949760437,0.002000570297241211,0.0010001659393310547,0.03812670707702637,2,True,165
28,CatBoost_DSTL,0.8235294117647058,1.0,soft_log_loss,0.03816843032836914,0.0030126571655273438,170.2612748146057,0.03816843032836914,0.0030126571655273438,170.2612748146057,1,True,163
55,LightGBMLarge_BAG_L2,0.8235294117647058,0.9655172413793104,accuracy,9.346660852432251,7.593093156814575,930.770206451416,0.043418169021606445,0.0351259708404541,6.567407608032227,2,True,122
58,CatBoost_r167_BAG_L2,0.8235294117647058,0.9655172413793104,accuracy,9.41166067123413,7.6398680210113525,1068.8816549777985,0.10841798782348633,0.08190083503723145,144.67885613441467,2,True,155
60,WeightedEnsemble_L3,0.8235294117647058,0.9655172413793104,accuracy,9.413662910461426,7.640870809555054,1069.152617931366,0.002002239227294922,0.0010027885437011719,0.2709629535675049,3,True,160
62,NeuralNetFastAI_r191_BAG_L2,0.8235294117647058,0.9655172413793104,accuracy,9.424681663513184,7.7076616287231445,935.2551636695862,0.12143898010253906,0.14969444274902344,11.052364826202393,2,True,126
33,NeuralNetFastAI_r156_BAG_L1,0.8235294117647058,0.9540229885057471,accuracy,0.0906674861907959,0.07490992546081543,9.490405559539795,0.0906674861907959,0.07490992546081543,9.490405559539795,1,True,43
34,NeuralNetFastAI_r4_BAG_L1,0.8235294117647058,0.9540229885057471,accuracy,0.09275650978088379,0.08299779891967773,9.786351442337036,0.09275650978088379,0.08299779891967773,9.786351442337036,1,True,98
38,NeuralNetFastAI_r138_BAG_L1,0.8235294117647058,0.9540229885057471,accuracy,0.10234618186950684,0.09003901481628418,10.293632507324219,0.10234618186950684,0.09003901481628418,10.293632507324219,1,True,86
56,CatBoost_r137_BAG_L2,0.8235294117647058,0.9540229885057471,accuracy,9.39977240562439,7.6489973068237305,952.4437031745911,0.09652972221374512,0.09103012084960938,28.240904331207275,2,True,132
57,NeuralNetFastAI_r102_BAG_L2,0.8235294117647058,0.9540229885057471,accuracy,9.411020517349243,7.659314155578613,933.9491188526154,0.10777783393859863,0.10134696960449219,9.746320009231567,2,True,133
59,NeuralNetFastAI_r103_BAG_L2,0.8235294117647058,0.9540229885057471,accuracy,9.412386178970337,7.71764063835144,935.0360267162323,0.10914349555969238,0.15967345237731934,10.83322787284851,2,True,147
63,NeuralNetFastAI_r11_BAG_L2,0.8235294117647058,0.9540229885057471,accuracy,9.426967859268188,7.735906600952148,935.4999628067017,0.12372517585754395,0.17793941497802734,11.297163963317871,2,True,143
65,NeuralNetFastAI_BAG_L2,0.8235294117647058,0.9540229885057471,accuracy,9.461767196655273,7.6511218547821045,934.5456347465515,0.1585245132446289,0.0931546688079834,10.342835903167725,2,True,112
17,LightGBM_2_DSTL,0.8235294117647058,0.9444444444444444,soft_log_loss,0.018616199493408203,0.0009984970092773438,1.4847638607025146,0.018616199493408203,0.0009984970092773438,1.4847638607025146,1,True,166
36,NeuralNetTorch_r121_BAG_L1,0.8235294117647058,0.9425287356321839,accuracy,0.10147571563720703,0.13199400901794434,33.19923639297485,0.10147571563720703,0.13199400901794434,33.19923639297485,1,True,92
40,NeuralNetFastAI_r100_BAG_L1,0.8235294117647058,0.9425287356321839,accuracy,0.10918903350830078,0.10760116577148438,10.607859134674072,0.10918903350830078,0.10760116577148438,10.607859134674072,1,True,101
42,NeuralNetFastAI_r194_BAG_L1,0.8235294117647058,0.9425287356321839,accuracy,0.11513066291809082,0.11867213249206543,9.071961641311646,0.11513066291809082,0.11867213249206543,9.071961641311646,1,True,95
44,NeuralNetFastAI_r95_BAG_L1,0.8235294117647058,0.9425287356321839,accuracy,0.11937499046325684,0.10138535499572754,9.46750283241272,0.11937499046325684,0.10138535499572754,9.46750283241272,1,True,47
52,LightGBM_r188_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.332792043685913,7.584079027175903,927.7652072906494,0.029549360275268555,0.026111841201782227,3.562408447265625,2,True,136
53,LightGBMXT_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.334113121032715,7.586861610412598,927.0721509456635,0.030870437622070312,0.028894424438476562,2.869352102279663,2,True,113
54,LightGBM_r196_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.341806888580322,7.585205793380737,928.0852208137512,0.038564205169677734,0.02723860740661621,3.8824219703674316,2,True,153
61,NeuralNetFastAI_r156_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.418138027191162,7.664048671722412,934.2016406059265,0.11489534378051758,0.10608148574829102,9.998841762542725,2,True,152
64,NeuralNetFastAI_r143_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.427307367324829,7.6768798828125,934.0411653518677,0.12406468391418457,0.1189126968383789,9.838366508483887,2,True,150
71,NeuralNetTorch_r14_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.876739263534546,8.20237112045288,943.4278540611267,0.5734965801239014,0.6444039344787598,19.22505521774292,2,True,148
73,NeuralNetTorch_r86_BAG_L2,0.8235294117647058,0.9425287356321839,accuracy,9.89274525642395,8.224963903427124,942.0654447078705,0.5895025730133057,0.6669967174530029,17.862645864486694,2,True,141
43,NeuralNetFastAI_r160_BAG_L1,0.8235294117647058,0.9310344827586207,accuracy,0.11693882942199707,0.10285234451293945,9.675375699996948,0.11693882942199707,0.10285234451293945,9.675375699996948,1,True,79
69,XGBoost_r98_BAG_L2,0.8235294117647058,0.9310344827586207,accuracy,9.811125993728638,8.079816818237305,931.5571479797363,0.5078833103179932,0.5218496322631836,7.354349136352539,2,True,158
72,NeuralNetTorch_r22_BAG_L2,0.8235294117647058,0.9310344827586207,accuracy,9.891323566436768,8.312249898910522,944.3940086364746,0.588080883026123,0.7542827129364014,20.19120979309082,2,True,129
74,NeuralNetTorch_BAG_L2,0.8235294117647058,0.9310344827586207,accuracy,9.904346466064453,8.336029291152954,941.8302462100983,0.6011037826538086,0.778062105178833,17.627447366714478,2,True,121
13,LightGBM_r188_BAG_L1,0.8235294117647058,0.9195402298850575,accuracy,0.013442277908325195,0.010288476943969727,2.529449462890625,0.013442277908325195,0.010288476943969727,2.529449462890625,1,True,27
22,CatBoost_r70_BAG_L1,0.8235294117647058,0.9195402298850575,accuracy,0.03287076950073242,0.006809234619140625,8.275280714035034,0.03287076950073242,0.006809234619140625,8.275280714035034,1,True,42
51,XGBoost_r98_BAG_L1,0.8235294117647058,0.9195402298850575,accuracy,0.21044445037841797,0.07168126106262207,3.517468214035034,0.21044445037841797,0.07168126106262207,3.517468214035034,1,True,49
66,XGBoost_BAG_L2,0.8235294117647058,0.9195402298850575,accuracy,9.468267679214478,7.585432767868042,928.0760474205017,0.165024995803833,0.0274655818939209,3.87324857711792,2,True,120
67,XGBoost_r89_BAG_L2,0.8235294117647058,0.9195402298850575,accuracy,9.482676029205322,7.58832573890686,928.0848400592804,0.17943334579467773,0.030358552932739258,3.8820412158966064,2,True,138
68,XGBoost_r33_BAG_L2,0.8235294117647058,0.9195402298850575,accuracy,9.483402013778687,7.610193729400635,935.4728512763977,0.180159330368042,0.05222654342651367,11.270052433013916,2,True,130
70,XGBoost_r194_BAG_L2,0.8235294117647058,0.9195402298850575,accuracy,9.829047441482544,8.064230680465698,929.1431963443756,0.5258047580718994,0.5062634944915771,4.940397500991821,2,True,144
23,CatBoost_r60_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.03310561180114746,0.020328998565673828,5.7693772315979,0.03310561180114746,0.020328998565673828,5.7693772315979,1,True,80
24,CatBoost_r163_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.034586429595947266,0.01961660385131836,5.719926834106445,0.034586429595947266,0.01961660385131836,5.719926834106445,1,True,102
25,CatBoost_r69_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.03511166572570801,0.016407489776611328,5.59816837310791,0.03511166572570801,0.016407489776611328,5.59816837310791,1,True,37
45,XGBoost_r49_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.16774225234985352,0.015305757522583008,3.3583998680114746,0.16774225234985352,0.015305757522583008,3.3583998680114746,1,True,70
48,XGBoost_r34_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.17989349365234375,0.0331113338470459,2.914036750793457,0.17989349365234375,0.0331113338470459,2.914036750793457,1,True,107
50,XGBoost_r33_BAG_L1,0.8235294117647058,0.9080459770114943,accuracy,0.19985580444335938,0.026740312576293945,3.477170944213867,0.19985580444335938,0.026740312576293945,3.477170944213867,1,True,21
16,LightGBMXT_BAG_L1,0.8235294117647058,0.896551724137931,accuracy,0.017537593841552734,0.008998394012451172,2.7056195735931396,0.017537593841552734,0.008998394012451172,2.7056195735931396,1,True,4
26,LightGBM_r196_BAG_L1,0.8235294117647058,0.896551724137931,accuracy,0.03803277015686035,0.010072708129882812,2.6704299449920654,0.03803277015686035,0.010072708129882812,2.6704299449920654,1,True,44
27,CatBoost_r177_BAG_L1,0.8235294117647058,0.896551724137931,accuracy,0.03804445266723633,0.01595473289489746,10.56616735458374,0.03804445266723633,0.01595473289489746,10.56616735458374,1,True,14
49,XGBoost_r31_BAG_L1,0.8235294117647058,0.896551724137931,accuracy,0.19679594039916992,0.027006149291992188,3.8058834075927734,0.19679594039916992,0.027006149291992188,3.8058834075927734,1,True,77
14,LightGBMLarge_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.013999223709106445,0.010545492172241211,3.0738914012908936,0.013999223709106445,0.010545492172241211,3.0738914012908936,1,True,13
19,CatBoost_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.030103206634521484,0.014822959899902344,7.304457426071167,0.030103206634521484,0.014822959899902344,7.304457426071167,1,True,8
20,CatBoost_r198_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.03062582015991211,0.015372753143310547,7.619858503341675,0.03062582015991211,0.015372753143310547,7.619858503341675,1,True,103
21,CatBoost_r13_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.03286576271057129,0.0152587890625,17.044015407562256,0.03286576271057129,0.0152587890625,17.044015407562256,1,True,25
31,ExtraTrees_r178_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.07722353935241699,0.12199616432189941,0.9732773303985596,0.07722353935241699,0.12199616432189941,0.9732773303985596,1,True,75
32,ExtraTrees_r126_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.07765793800354004,0.14140820503234863,1.2848021984100342,0.07765793800354004,0.14140820503234863,1.2848021984100342,1,True,99
37,NeuralNetFastAI_r65_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.10233950614929199,0.07698225975036621,9.958514928817749,0.10233950614929199,0.07698225975036621,9.958514928817749,1,True,67
46,XGBoost_r95_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.17182683944702148,0.028959035873413086,3.4653141498565674,0.17182683944702148,0.028959035873413086,3.4653141498565674,1,True,106
47,XGBoost_r22_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.17748546600341797,0.02300119400024414,3.0841431617736816,0.17748546600341797,0.02300119400024414,3.0841431617736816,1,True,83
29,ExtraTrees_r197_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.06500434875488281,0.09269452095031738,1.3615059852600098,0.06500434875488281,0.09269452095031738,1.3615059852600098,1,True,91
30,ExtraTrees_r172_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.07199764251708984,0.10797381401062012,0.7600317001342773,0.07199764251708984,0.10797381401062012,0.7600317001342773,1,True,36
35,ExtraTrees_r42_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.09790921211242676,0.09507417678833008,0.8474600315093994,0.09790921211242676,0.09507417678833008,0.8474600315093994,1,True,22
39,ExtraTrees_r49_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.10368943214416504,0.0861959457397461,1.0351858139038086,0.10368943214416504,0.0861959457397461,1.0351858139038086,1,True,56
41,ExtraTreesGini_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.10965490341186523,0.08633136749267578,0.7556242942810059,0.10965490341186523,0.08633136749267578,0.7556242942810059,1,True,9
87,CatBoost_2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.04979062080383301,0.0036313533782958984,202.83966588974,0.04979062080383301,0.0036313533782958984,202.83966588974,1,True,168
91,RandomForestMSE_DSTL,0.7647058823529411,1.0,soft_log_loss,0.07466912269592285,0.042643070220947266,0.7988088130950928,0.07466912269592285,0.042643070220947266,0.7988088130950928,1,True,162
98,NeuralNetTorch_r86_BAG_L1,0.7647058823529411,0.9655172413793104,accuracy,0.09844851493835449,0.10373592376708984,27.697286128997803,0.09844851493835449,0.10373592376708984,27.697286128997803,1,True,32
102,WeightedEnsemble_L2,0.7647058823529411,0.9655172413793104,accuracy,0.10045075416564941,0.10473513603210449,27.962879180908203,0.002002239227294922,0.0009992122650146484,0.2655930519104004,2,True,111
111,NeuralNetTorch_r41_BAG_L1,0.7647058823529411,0.9655172413793104,accuracy,0.12203288078308105,0.11721611022949219,16.49676537513733,0.12203288078308105,0.11721611022949219,16.49676537513733,1,True,48
99,NeuralNetFastAI_BAG_L1,0.7647058823529411,0.9540229885057471,accuracy,0.09934067726135254,0.0825810432434082,9.689507007598877,0.09934067726135254,0.0825810432434082,9.689507007598877,1,True,3
109,NeuralNetFastAI_r37_BAG_L1,0.7647058823529411,0.9540229885057471,accuracy,0.11147212982177734,0.08750653266906738,9.87264370918274,0.11147212982177734,0.08750653266906738,9.87264370918274,1,True,53
112,NeuralNetTorch_r30_BAG_L1,0.7647058823529411,0.9540229885057471,accuracy,0.13922953605651855,0.10526466369628906,17.72427248954773,0.13922953605651855,0.10526466369628906,17.72427248954773,1,True,30
113,NeuralNetTorch_r89_BAG_L1,0.7647058823529411,0.9540229885057471,accuracy,0.15335702896118164,0.10808944702148438,20.48498797416687,0.15335702896118164,0.10808944702148438,20.48498797416687,1,True,110
114,NeuralNetTorch_r1_BAG_L1,0.7647058823529411,0.9540229885057471,accuracy,0.15405035018920898,0.10058975219726562,30.155869722366333,0.15405035018920898,0.10058975219726562,30.155869722366333,1,True,109
117,LightGBM_r15_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.337033987045288,7.587838411331177,929.2744369506836,0.033791303634643555,0.029871225357055664,5.071638107299805,2,True,159
124,CatBoost_r69_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.388083457946777,7.641578674316406,959.563690662384,0.08484077453613281,0.08361148834228516,35.360891819000244,2,True,146
125,CatBoost_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.391404628753662,7.64823317527771,997.6133711338043,0.08816194534301758,0.09026598930358887,73.41057229042053,2,True,117
130,CatBoost_r70_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.417948961257935,7.6344099044799805,991.9996633529663,0.11470627784729004,0.07644271850585938,67.79686450958252,2,True,151
131,CatBoost_r177_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.419365406036377,7.638199806213379,990.5125024318695,0.11612272262573242,0.08023262023925781,66.30970358848572,2,True,123
132,CatBoost_r50_BAG_L2,0.7647058823529411,0.9540229885057471,accuracy,9.420734167098999,7.645043134689331,951.1499729156494,0.11749148368835449,0.08707594871520996,26.947174072265625,2,True,142
101,RandomForestMSE_2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.10026192665100098,0.05890536308288574,0.7681710720062256,0.10026192665100098,0.05890536308288574,0.7681710720062256,1,True,167
95,NeuralNetTorch_r19_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.09029984474182129,0.10623788833618164,15.51646876335144,0.09029984474182129,0.10623788833618164,15.51646876335144,1,True,105
96,NeuralNetFastAI_r172_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.0934147834777832,0.10187458992004395,9.65797734260559,0.0934147834777832,0.10187458992004395,9.65797734260559,1,True,88
97,NeuralNetTorch_r31_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.09465718269348145,0.13812708854675293,16.98656988143921,0.09465718269348145,0.13812708854675293,16.98656988143921,1,True,65
105,NeuralNetFastAI_r11_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.10525798797607422,0.09023618698120117,10.132103681564331,0.10525798797607422,0.09023618698120117,10.132103681564331,1,True,34
106,NeuralNetFastAI_r69_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.10559320449829102,0.10271286964416504,9.327861547470093,0.10559320449829102,0.10271286964416504,9.327861547470093,1,True,84
107,NeuralNetFastAI_r187_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.1081092357635498,0.08393454551696777,9.407429218292236,0.1081092357635498,0.08393454551696777,9.407429218292236,1,True,104
108,NeuralNetFastAI_r102_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.11009430885314941,0.08692550659179688,8.865211009979248,0.11009430885314941,0.08692550659179688,8.865211009979248,1,True,24
110,NeuralNetFastAI_r145_BAG_L1,0.7647058823529411,0.9425287356321839,accuracy,0.11613178253173828,0.09848785400390625,9.614904165267944,0.11613178253173828,0.09848785400390625,9.614904165267944,1,True,28
118,ExtraTreesGini_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.354349374771118,7.644814729690552,925.2179517745972,0.05110669136047363,0.08684754371643066,1.015152931213379,2,True,118
119,RandomForestEntr_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.368433713912964,7.6680920124053955,925.080192565918,0.06519103050231934,0.11012482643127441,0.8773937225341797,2,True,116
120,RandomForest_r195_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.369457244873047,7.6499738693237305,925.3980429172516,0.06621456146240234,0.09200668334960938,1.1952440738677979,2,True,135
121,ExtraTreesEntr_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.372202634811401,7.650236129760742,925.0121774673462,0.06895995140075684,0.0922689437866211,0.8093786239624023,2,True,119
122,ExtraTrees_r42_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.374680280685425,7.647093057632446,925.0283205509186,0.07143759727478027,0.0891258716583252,0.82552170753479,2,True,131
123,RandomForestGini_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.382838010787964,7.646843910217285,925.0483124256134,0.07959532737731934,0.08887672424316406,0.8455135822296143,2,True,115
126,RandomForest_r39_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.395643949508667,7.660683870315552,925.4340918064117,0.09240126609802246,0.10271668434143066,1.231292963027954,2,True,154
127,ExtraTrees_r172_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.416867017745972,7.695559024810791,925.1465542316437,0.11362433433532715,0.13759183883666992,0.9437553882598877,2,True,145
129,CatBoost_r9_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.417163133621216,7.6401660442352295,1060.5650382041931,0.11392045021057129,0.0821988582611084,136.36223936080933,2,True,127
133,NeuralNetFastAI_r95_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.425945520401001,7.683163166046143,933.8469355106354,0.12270283699035645,0.12519598007202148,9.644136667251587,2,True,156
134,NeuralNetTorch_r30_BAG_L2,0.7647058823529411,0.9425287356321839,accuracy,9.954982280731201,8.277992963790894,943.6678228378296,0.6517395973205566,0.7200257778167725,19.4650239944458,2,True,139
81,CatBoost_r9_BAG_L1,0.7647058823529411,0.9310344827586207,accuracy,0.03461146354675293,0.02545452117919922,15.205215692520142,0.03461146354675293,0.02545452117919922,15.205215692520142,1,True,18
92,NeuralNetTorch_r71_BAG_L1,0.7647058823529411,0.9310344827586207,accuracy,0.08121871948242188,0.1302199363708496,14.883496046066284,0.08121871948242188,0.1302199363708496,14.883496046066284,1,True,73
93,NeuralNetTorch_r14_BAG_L1,0.7647058823529411,0.9310344827586207,accuracy,0.08734631538391113,0.09848308563232422,19.007816553115845,0.08734631538391113,0.09848308563232422,19.007816553115845,1,True,39
100,NeuralNetFastAI_r103_BAG_L1,0.7647058823529411,0.9310344827586207,accuracy,0.09951305389404297,0.07782602310180664,9.766586303710938,0.09951305389404297,0.07782602310180664,9.766586303710938,1,True,38
103,NeuralNetTorch_r22_BAG_L1,0.7647058823529411,0.9310344827586207,accuracy,0.10190868377685547,0.11770367622375488,16.841386079788208,0.10190868377685547,0.11770367622375488,16.841386079788208,1,True,20
116,LightGBM_BAG_L2,0.7647058823529411,0.9310344827586207,accuracy,9.334397792816162,7.584628582000732,927.5073134899139,0.031155109405517578,0.026661396026611328,3.3045146465301514,2,True,114
128,CatBoost_r13_BAG_L2,0.7647058823529411,0.9310344827586207,accuracy,9.416947364807129,7.63314151763916,1111.1530656814575,0.11370468139648438,0.07517433166503906,186.95026683807373,2,True,134
82,CatBoost_r128_BAG_L1,0.7647058823529411,0.9195402298850575,accuracy,0.03499960899353027,0.011578083038330078,15.607149362564087,0.03499960899353027,0.011578083038330078,15.607149362564087,1,True,63
104,NeuralNetFastAI_r143_BAG_L1,0.7647058823529411,0.9195402298850575,accuracy,0.1040034294128418,0.10984134674072266,9.702708721160889,0.1040034294128418,0.10984134674072266,9.702708721160889,1,True,41
76,CatBoost_r137_BAG_L1,0.7647058823529411,0.9080459770114943,accuracy,0.026625633239746094,0.01537775993347168,4.374562740325928,0.026625633239746094,0.01537775993347168,4.374562740325928,1,True,23
77,CatBoost_r5_BAG_L1,0.7647058823529411,0.9080459770114943,accuracy,0.02935504913330078,0.001695871353149414,4.3766114711761475,0.02935504913330078,0.001695871353149414,4.3766114711761475,1,True,71
