,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
33,CatBoost_2_DSTL,0.764705882,1,soft_log_loss,0.045106649,0,212.6795001,0.045106649,0,212.6795001,1,TRUE,80
80,CatBoost_BAG_L1,,0.885057471,accuracy,,0.010392666,8.413499594,,0.010392666,8.413499594,1,FALSE,6
47,CatBoost_BAG_L1_FULL,0.705882353,,accuracy,0.006507874,,0.327954292,0.006507874,,0.327954292,1,TRUE,42
59,CatBoost_BAG_L2,,0.942528736,accuracy,,0.627790928,67.56319475,,0.011104107,14.85194921,2,FALSE,18
41,CatBoost_BAG_L2_FULL,0.764705882,,accuracy,0.363399744,,9.493512154,0.004007816,,0.102632999,2,TRUE,54
56,CatBoost_BAG_L3,,0.954022989,accuracy,,1.364129305,124.4459305,,0.02248168,13.67758989,3,FALSE,30
16,CatBoost_BAG_L3_FULL,0.823529412,,accuracy,0.703730822,,14.4691925,0,,0.08637929,3,TRUE,66
3,CatBoost_DSTL,0.823529412,1,soft_log_loss,0.05614996,0.015632868,227.091433,0.05614996,0.015632868,227.091433,1,TRUE,75
37,ExtraTreesEntr_BAG_L1,0.764705882,0.873563218,accuracy,0.069565058,0.087109566,0.781777143,0.069565058,0.087109566,0.781777143,1,TRUE,8
35,ExtraTreesEntr_BAG_L1_FULL,0.764705882,,accuracy,0.065038681,0.087109566,0.781777143,0.065038681,0.087109566,0.781777143,1,TRUE,44
68,ExtraTreesEntr_BAG_L2,,0.91954023,accuracy,,0.727856874,53.49649167,,0.111170053,0.785246134,2,FALSE,20
12,ExtraTreesEntr_BAG_L2_FULL,0.823529412,,accuracy,0.429203272,,10.17612529,0.069811344,0.111170053,0.785246134,2,TRUE,56
72,ExtraTreesEntr_BAG_L3,,0.91954023,accuracy,,1.427094936,111.6038222,,0.085447311,0.835481644,3,FALSE,32
19,ExtraTreesEntr_BAG_L3_FULL,0.823529412,,accuracy,0.751221657,,15.21829486,0.047490835,0.085447311,0.835481644,3,TRUE,68
