,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
1,NeuralNetTorch_2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.02562117576599121,0.0186007022857666,8.651359558105469,0.02562117576599121,0.0186007022857666,8.651359558105469,1,True,33
2,WeightedEnsemble_2_L2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.027618885040283203,0.018813610076904297,8.693435192108154,0.001997709274291992,0.0002129077911376953,0.04207563400268555,2,True,34
3,LightGBM_DSTL,0.8235294117647058,1.0,soft_log_loss,0.03365445137023926,0.0,3.74013352394104,0.03365445137023926,0.0,3.74013352394104,1,True,25
5,CatBoost_DSTL,0.8235294117647058,1.0,soft_log_loss,0.05278968811035156,0.005001068115234375,252.39489841461182,0.05278968811035156,0.005001068115234375,252.39489841461182,1,True,27
7,CatBoost_2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.06090235710144043,0.0043792724609375,237.24999165534973,0.06090235710144043,0.0043792724609375,237.24999165534973,1,True,32
4,LightGBM_2_DSTL,0.8235294117647058,0.9444444444444444,soft_log_loss,0.04643058776855469,0.002003192901611328,4.092738389968872,0.04643058776855469,0.002003192901611328,4.092738389968872,1,True,30
9,RandomForestMSE_DSTL,0.8235294117647058,0.9444444444444444,soft_log_loss,0.10103535652160645,0.039450883865356445,0.8377323150634766,0.10103535652160645,0.039450883865356445,0.8377323150634766,1,True,26
8,ExtraTreesGini_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.08624410629272461,0.18558287620544434,2.566812038421631,0.08624410629272461,0.18558287620544434,2.566812038421631,1,True,7
0,LightGBMLarge_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0019989013671875,,0.3049964904785156,0.0019989013671875,,0.3049964904785156,1,True,23
6,ExtraTreesGini_BAG_L1_FULL,0.8235294117647058,,accuracy,0.058881282806396484,0.18558287620544434,2.566812038421631,0.058881282806396484,0.18558287620544434,2.566812038421631,1,True,19
15,NeuralNetTorch_DSTL,0.7647058823529411,1.0,soft_log_loss,0.022495746612548828,0.016000747680664062,12.7852463722229,0.022495746612548828,0.016000747680664062,12.7852463722229,1,True,28
16,WeightedEnsemble_L2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.02449631690979004,0.016000747680664062,12.828075408935547,0.002000570297241211,0.0,0.042829036712646484,2,True,29
21,RandomForestMSE_2_DSTL,0.7647058823529411,0.8888888888888888,soft_log_loss,0.0923759937286377,0.08229470252990723,0.8389346599578857,0.0923759937286377,0.08229470252990723,0.8389346599578857,1,True,31
17,RandomForestEntr_BAG_L1,0.7647058823529411,0.8850574712643678,accuracy,0.07214069366455078,0.15694522857666016,1.1958177089691162,0.07214069366455078,0.15694522857666016,1.1958177089691162,1,True,5
23,RandomForestGini_BAG_L1,0.7647058823529411,0.8850574712643678,accuracy,0.16565370559692383,0.15909838676452637,1.8732469081878662,0.16565370559692383,0.15909838676452637,1.8732469081878662,1,True,4
18,ExtraTreesEntr_BAG_L1,0.7647058823529411,0.8735632183908046,accuracy,0.07412266731262207,0.19414901733398438,2.8251712322235107,0.07412266731262207,0.19414901733398438,2.8251712322235107,1,True,8
10,LightGBM_BAG_L1_FULL,0.7647058823529411,,accuracy,0.003000020980834961,,0.7217111587524414,0.003000020980834961,,0.7217111587524414,1,True,15
11,LightGBMXT_BAG_L1_FULL,0.7647058823529411,,accuracy,0.005130290985107422,,2.713956117630005,0.005130290985107422,,2.713956117630005,1,True,14
12,NeuralNetTorch_BAG_L1_FULL,0.7647058823529411,,accuracy,0.01442265510559082,,6.76839017868042,0.01442265510559082,,6.76839017868042,1,True,22
13,NeuralNetFastAI_BAG_L1_FULL,0.7647058823529411,,accuracy,0.017003297805786133,,14.601935625076294,0.017003297805786133,,14.601935625076294,1,True,13
14,WeightedEnsemble_L2_FULL,0.7647058823529411,,accuracy,0.01900458335876465,,14.83268404006958,0.0020012855529785156,,0.23074841499328613,2,True,24
19,RandomForestGini_BAG_L1_FULL,0.7647058823529411,,accuracy,0.08274602890014648,0.15909838676452637,1.8732469081878662,0.08274602890014648,0.15909838676452637,1.8732469081878662,1,True,16
20,ExtraTreesEntr_BAG_L1_FULL,0.7647058823529411,,accuracy,0.08919453620910645,0.19414901733398438,2.8251712322235107,0.08919453620910645,0.19414901733398438,2.8251712322235107,1,True,20
