,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
3,KNeighborsDist_BAG_L1,0.9411764705882353,0.896551724137931,accuracy,0.010091781616210938,0.0040018558502197266,0.006000041961669922,0.010091781616210938,0.0040018558502197266,0.006000041961669922,1,True,2
0,KNeighborsUnif_BAG_L1,0.9411764705882353,0.7011494252873564,accuracy,0.0,0.30275750160217285,0.005997657775878906,0.0,0.30275750160217285,0.005997657775878906,1,True,1
1,KNeighborsDist_BAG_L1_FULL,0.9411764705882353,,accuracy,0.0,0.0040018558502197266,0.006000041961669922,0.0,0.0040018558502197266,0.006000041961669922,1,True,154
2,KNeighborsUnif_BAG_L1_FULL,0.9411764705882353,,accuracy,0.0050106048583984375,0.30275750160217285,0.005997657775878906,0.0050106048583984375,0.30275750160217285,0.005997657775878906,1,True,153
4,XGBoost_r98_BAG_L1_FULL,0.8823529411764706,,accuracy,0.0,,0.10689258575439453,0.0,,0.10689258575439453,1,True,201
5,LightGBM_r188_BAG_L1_FULL,0.8823529411764706,,accuracy,0.0,,0.2002880573272705,0.0,,0.2002880573272705,1,True,179
6,LightGBM_r161_BAG_L1_FULL,0.8823529411764706,,accuracy,0.0,,0.1968367099761963,0.0,,0.1968367099761963,1,True,192
7,LightGBM_r121_BAG_L1_FULL,0.8823529411764706,,accuracy,0.008550167083740234,,0.20227622985839844,0.008550167083740234,,0.20227622985839844,1,True,239
8,CatBoost_r5_BAG_L1_FULL,0.8823529411764706,,accuracy,0.015979528427124023,,0.0768728256225586,0.015979528427124023,,0.0768728256225586,1,True,223
9,CatBoost_r49_BAG_L1_FULL,0.8823529411764706,,accuracy,0.017217159271240234,,0.08172917366027832,0.017217159271240234,,0.08172917366027832,1,True,207
10,NeuralNetFastAI_r143_BAG_L2_FULL,0.8823529411764706,,accuracy,2.363044500350952,,62.03169298171997,0.010038375854492188,,0.29396486282348633,2,True,302
43,WeightedEnsemble_2_L2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.020865201950073242,0.013155460357666016,6.7713353633880615,0.0,0.0,0.04552412033081055,2,True,314
44,NeuralNetTorch_2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.020865201950073242,0.013155460357666016,6.725811243057251,0.020865201950073242,0.013155460357666016,6.725811243057251,1,True,313
46,NeuralNetTorch_DSTL,0.8235294117647058,1.0,soft_log_loss,0.03050541877746582,0.017513751983642578,8.03443431854248,0.03050541877746582,0.017513751983642578,8.03443431854248,1,True,308
47,WeightedEnsemble_L2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.04053616523742676,0.017513751983642578,8.071992874145508,0.010030746459960938,0.0,0.037558555603027344,2,True,309
50,CatBoost_2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.05591297149658203,0.0,221.8050413131714,0.05591297149658203,0.0,221.8050413131714,1,True,312
