,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
3,KNeighborsDist_BAG_L1,0.9411764705882353,0.896551724137931,accuracy,0.006001472473144531,0.024237871170043945,0.012970685958862305,0.006001472473144531,0.024237871170043945,0.012970685958862305,1,True,2
1,KNeighborsUnif_BAG_L1,0.9411764705882353,0.7011494252873564,accuracy,0.0036385059356689453,0.32950425148010254,0.004079103469848633,0.0036385059356689453,0.32950425148010254,0.004079103469848633,1,True,1
0,KNeighborsUnif_BAG_L1_FULL,0.9411764705882353,,accuracy,0.002997159957885742,0.32950425148010254,0.004079103469848633,0.002997159957885742,0.32950425148010254,0.004079103469848633,1,True,136
2,KNeighborsDist_BAG_L1_FULL,0.9411764705882353,,accuracy,0.0049991607666015625,0.024237871170043945,0.012970685958862305,0.0049991607666015625,0.024237871170043945,0.012970685958862305,1,True,137
4,LightGBM_r188_BAG_L1_FULL,0.8823529411764706,,accuracy,0.0019998550415039062,,0.1701967716217041,0.0019998550415039062,,0.1701967716217041,1,True,162
5,LightGBM_r161_BAG_L1_FULL,0.8823529411764706,,accuracy,0.002947092056274414,,0.20127344131469727,0.002947092056274414,,0.20127344131469727,1,True,175
6,CatBoost_r49_BAG_L1_FULL,0.8823529411764706,,accuracy,0.004997730255126953,,0.0758049488067627,0.004997730255126953,,0.0758049488067627,1,True,190
7,CatBoost_r5_BAG_L1_FULL,0.8823529411764706,,accuracy,0.006000041961669922,,0.08220672607421875,0.006000041961669922,,0.08220672607421875,1,True,206
8,LightGBM_r121_BAG_L1_FULL,0.8823529411764706,,accuracy,0.024101972579956055,,0.23018789291381836,0.024101972579956055,,0.23018789291381836,1,True,222
9,XGBoost_r98_BAG_L1_FULL,0.8823529411764706,,accuracy,0.030434608459472656,,0.10913681983947754,0.030434608459472656,,0.10913681983947754,1,True,184
43,LightGBM_2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.04219341278076172,0.004999876022338867,3.8402788639068604,0.04219341278076172,0.004999876022338867,3.8402788639068604,1,True,276
46,LightGBM_DSTL,0.8235294117647058,1.0,soft_log_loss,0.06442093849182129,0.002999544143676758,7.797453165054321,0.06442093849182129,0.002999544143676758,7.797453165054321,1,True,271
47,ExtraTrees_r178_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.06707048416137695,0.10939908027648926,1.1155505180358887,0.06707048416137695,0.10939908027648926,1.1155505180358887,1,True,75
50,ExtraTrees_r126_BAG_L1,0.8235294117647058,0.8850574712643678,accuracy,0.06998109817504883,0.16929936408996582,1.2863836288452148,0.06998109817504883,0.16929936408996582,1.2863836288452148,1,True,99
44,ExtraTrees_r42_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.04918861389160156,0.0871572494506836,0.8378798961639404,0.04918861389160156,0.0871572494506836,0.8378798961639404,1,True,22
45,ExtraTreesGini_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.05458521842956543,0.11116290092468262,0.9249870777130127,0.05458521842956543,0.11116290092468262,0.9249870777130127,1,True,9
48,ExtraTrees_r197_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.0688009262084961,0.11721158027648926,1.444765567779541,0.0688009262084961,0.11721158027648926,1.444765567779541,1,True,91
51,ExtraTrees_r172_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.07783961296081543,0.09520936012268066,0.7921228408813477,0.07783961296081543,0.09520936012268066,0.7921228408813477,1,True,36
53,ExtraTrees_r49_BAG_L1,0.8235294117647058,0.8735632183908046,accuracy,0.08004546165466309,0.1330866813659668,1.1256718635559082,0.08004546165466309,0.1330866813659668,1.1256718635559082,1,True,56
10,LightGBMLarge_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0019974708557128906,,0.27819204330444336,0.0019974708557128906,,0.27819204330444336,1,True,148
11,CatBoost_r143_BAG_L1_FULL,0.8235294117647058,,accuracy,0.002466440200805664,,0.14115619659423828,0.002466440200805664,,0.14115619659423828,1,True,209
12,XGBoost_r34_BAG_L1_FULL,0.8235294117647058,,accuracy,0.002998828887939453,,0.040116310119628906,0.002998828887939453,,0.040116310119628906,1,True,242
13,LightGBM_r131_BAG_L1_FULL,0.8235294117647058,,accuracy,0.003002166748046875,,0.19770097732543945,0.003002166748046875,,0.19770097732543945,1,True,151
14,CatBoost_r69_BAG_L1_FULL,0.8235294117647058,,accuracy,0.004557371139526367,,0.0756223201751709,0.004557371139526367,,0.0756223201751709,1,True,172
15,CatBoost_r163_BAG_L1_FULL,0.8235294117647058,,accuracy,0.004996776580810547,,0.09395813941955566,0.004996776580810547,,0.09395813941955566,1,True,237
16,CatBoost_r12_BAG_L1_FULL,0.8235294117647058,,accuracy,0.00500035285949707,,0.11805438995361328,0.00500035285949707,,0.11805438995361328,1,True,231
17,CatBoost_r128_BAG_L1_FULL,0.8235294117647058,,accuracy,0.005242824554443359,,0.1682875156402588,0.005242824554443359,,0.1682875156402588,1,True,198
18,XGBoost_r22_BAG_L1_FULL,0.8235294117647058,,accuracy,0.005631446838378906,,0.020346879959106445,0.005631446838378906,,0.020346879959106445,1,True,218
19,CatBoost_r9_BAG_L1_FULL,0.8235294117647058,,accuracy,0.005718231201171875,,0.13871049880981445,0.005718231201171875,,0.13871049880981445,1,True,153
20,CatBoost_r137_BAG_L1_FULL,0.8235294117647058,,accuracy,0.006000518798828125,,0.07716822624206543,0.006000518798828125,,0.07716822624206543,1,True,158
21,CatBoost_r13_BAG_L1_FULL,0.8235294117647058,,accuracy,0.006002187728881836,,0.1162254810333252,0.006002187728881836,,0.1162254810333252,1,True,160
22,CatBoost_r167_BAG_L1_FULL,0.8235294117647058,,accuracy,0.00609135627746582,,0.09974336624145508,0.00609135627746582,,0.09974336624145508,1,True,181
23,CatBoost_r60_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0062792301177978516,,0.12220168113708496,0.0062792301177978516,,0.12220168113708496,1,True,215
24,CatBoost_r70_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0069997310638427734,,0.10212564468383789,0.0069997310638427734,,0.10212564468383789,1,True,177
25,LightGBM_r94_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0070018768310546875,,0.2224869728088379,0.0070018768310546875,,0.2224869728088379,1,True,196
26,XGBoost_r31_BAG_L1_FULL,0.8235294117647058,,accuracy,0.007615327835083008,,0.040198326110839844,0.007615327835083008,,0.040198326110839844,1,True,212
27,LightGBM_r30_BAG_L1_FULL,0.8235294117647058,,accuracy,0.007999897003173828,,0.2547457218170166,0.007999897003173828,,0.2547457218170166,1,True,204
28,NeuralNetFastAI_r145_BAG_L1_FULL,0.8235294117647058,,accuracy,0.014206647872924805,,0.3257308006286621,0.014206647872924805,,0.3257308006286621,1,True,163
29,NeuralNetFastAI_r65_BAG_L1_FULL,0.8235294117647058,,accuracy,0.01427769660949707,,0.5321102142333984,0.01427769660949707,,0.5321102142333984,1,True,202
30,NeuralNetFastAI_r4_BAG_L1_FULL,0.8235294117647058,,accuracy,0.014622688293457031,,0.3425009250640869,0.014622688293457031,,0.3425009250640869,1,True,233
31,NeuralNetFastAI_r160_BAG_L1_FULL,0.8235294117647058,,accuracy,0.014998435974121094,,0.4522581100463867,0.014998435974121094,,0.4522581100463867,1,True,214
32,NeuralNetFastAI_r187_BAG_L1_FULL,0.8235294117647058,,accuracy,0.01569509506225586,,0.3038318157196045,0.01569509506225586,,0.3038318157196045,1,True,239
33,NeuralNetTorch_r1_BAG_L1_FULL,0.8235294117647058,,accuracy,0.015737056732177734,,1.2462565898895264,0.015737056732177734,,1.2462565898895264,1,True,244
34,NeuralNetFastAI_r100_BAG_L1_FULL,0.8235294117647058,,accuracy,0.016427040100097656,,0.5387358665466309,0.016427040100097656,,0.5387358665466309,1,True,236
35,NeuralNetFastAI_r102_BAG_L1_FULL,0.8235294117647058,,accuracy,0.017228126525878906,,0.48652076721191406,0.017228126525878906,,0.48652076721191406,1,True,159
36,NeuralNetFastAI_r127_BAG_L1_FULL,0.8235294117647058,,accuracy,0.018314599990844727,,0.5318176746368408,0.018314599990844727,,0.5318176746368408,1,True,228
37,NeuralNetFastAI_r69_BAG_L1_FULL,0.8235294117647058,,accuracy,0.018405437469482422,,0.41939306259155273,0.018405437469482422,,0.41939306259155273,1,True,219
38,NeuralNetTorch_r121_BAG_L1_FULL,0.8235294117647058,,accuracy,0.019309043884277344,,2.021178722381592,0.019309043884277344,,2.021178722381592,1,True,227
39,NeuralNetTorch_r86_BAG_L1_FULL,0.8235294117647058,,accuracy,0.020128726959228516,,1.645571231842041,0.020128726959228516,,1.645571231842041,1,True,167
40,WeightedEnsemble_L2_FULL,0.8235294117647058,,accuracy,0.02212667465209961,,2.1125876903533936,0.0019979476928710938,,0.46701645851135254,2,True,246
41,WeightedEnsemble_L3_FULL,0.8235294117647058,,accuracy,0.02212691307067871,,2.184974193572998,0.0019981861114501953,,0.539402961730957,3,True,270
42,NeuralNetFastAI_r194_BAG_L1_FULL,0.8235294117647058,,accuracy,0.033255815505981445,,0.6097471714019775,0.033255815505981445,,0.6097471714019775,1,True,230
49,ExtraTrees_r178_BAG_L1_FULL,0.8235294117647058,,accuracy,0.06942415237426758,0.10939908027648926,1.1155505180358887,0.06942415237426758,0.10939908027648926,1.1155505180358887,1,True,210
52,ExtraTrees_r49_BAG_L1_FULL,0.8235294117647058,,accuracy,0.07877540588378906,0.1330866813659668,1.1256718635559082,0.07877540588378906,0.1330866813659668,1.1256718635559082,1,True,191
54,ExtraTrees_r126_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0854642391204834,0.16929936408996582,1.2863836288452148,0.0854642391204834,0.16929936408996582,1.2863836288452148,1,True,234
55,ExtraTrees_r42_BAG_L1_FULL,0.8235294117647058,,accuracy,0.09039497375488281,0.0871572494506836,0.8378798961639404,0.09039497375488281,0.0871572494506836,0.8378798961639404,1,True,157
56,ExtraTreesGini_BAG_L1_FULL,0.8235294117647058,,accuracy,0.0911397933959961,0.11116290092468262,0.9249870777130127,0.0911397933959961,0.11116290092468262,0.9249870777130127,1,True,144
57,ExtraTrees_r197_BAG_L1_FULL,0.8235294117647058,,accuracy,0.10039019584655762,0.11721158027648926,1.444765567779541,0.10039019584655762,0.11721158027648926,1.444765567779541,1,True,226
58,ExtraTrees_r172_BAG_L1_FULL,0.8235294117647058,,accuracy,0.10597944259643555,0.09520936012268066,0.7921228408813477,0.10597944259643555,0.09520936012268066,0.7921228408813477,1,True,171
59,XGBoost_BAG_L2_FULL,0.8235294117647058,,accuracy,2.664574384689331,,67.16808104515076,0.007001161575317383,,0.08295726776123047,2,True,255
60,NeuralNetFastAI_r191_BAG_L2_FULL,0.8235294117647058,,accuracy,2.6745710372924805,,67.43969440460205,0.016997814178466797,,0.3545706272125244,2,True,261
61,NeuralNetFastAI_BAG_L2_FULL,0.8235294117647058,,accuracy,2.6748106479644775,,67.49968767166138,0.017237424850463867,,0.4145638942718506,2,True,247
62,NeuralNetFastAI_r102_BAG_L2_FULL,0.8235294117647058,,accuracy,2.6800382137298584,,67.44448852539062,0.022464990615844727,,0.35936474800109863,2,True,268
63,NeuralNetTorch_BAG_L2_FULL,0.8235294117647058,,accuracy,2.723715305328369,,68.52098512649536,0.06614208221435547,,1.435861349105835,2,True,256
64,NeuralNetTorch_r22_BAG_L2_FULL,0.8235294117647058,,accuracy,2.74362850189209,,68.21571516990662,0.08605527877807617,,1.1305913925170898,2,True,264
86,NeuralNetTorch_2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.021663665771484375,0.037937164306640625,5.8377685546875,0.021663665771484375,0.037937164306640625,5.8377685546875,1,True,279
87,NeuralNetTorch_DSTL,0.7647058823529411,1.0,soft_log_loss,0.03168463706970215,0.0173337459564209,11.913361310958862,0.03168463706970215,0.0173337459564209,11.913361310958862,1,True,274
88,WeightedEnsemble_L2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.03368401527404785,0.018334388732910156,11.954528093338013,0.001999378204345703,0.0010006427764892578,0.04116678237915039,2,True,275
90,CatBoost_DSTL,0.7647058823529411,1.0,soft_log_loss,0.04566001892089844,0.002997875213623047,252.71514248847961,0.04566001892089844,0.002997875213623047,252.71514248847961,1,True,273
95,WeightedEnsemble_2_L2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.07773494720458984,0.04494023323059082,238.97377371788025,0.0019986629486083984,0.0,0.041144371032714844,2,True,280
97,RandomForestEntr_BAG_L1,0.7647058823529411,0.8850574712643678,accuracy,0.09665966033935547,0.09372138977050781,0.7130212783813477,0.09665966033935547,0.09372138977050781,0.7130212783813477,1,True,7
98,RandomForestGini_BAG_L1,0.7647058823529411,0.8850574712643678,accuracy,0.09688854217529297,0.13861823081970215,0.9553699493408203,0.09688854217529297,0.13861823081970215,0.9553699493408203,1,True,6
91,ExtraTreesEntr_BAG_L1,0.7647058823529411,0.8735632183908046,accuracy,0.05767202377319336,0.10789036750793457,0.759148359298706,0.05767202377319336,0.10789036750793457,0.759148359298706,1,True,10
99,RandomForest_r166_BAG_L1,0.7647058823529411,0.8735632183908046,accuracy,0.14870047569274902,0.11626124382019043,1.230351448059082,0.14870047569274902,0.11626124382019043,1.230351448059082,1,True,76
