,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.8823529411764706,0.9444444444444444,accuracy,0.0030019283294677734,0.0,0.46509385108947754,0.0030019283294677734,0.0,0.46509385108947754,1,True,5
1,KNeighborsDist,0.8823529411764706,0.9444444444444444,accuracy,0.010004281997680664,0.010087251663208008,0.0,0.010004281997680664,0.010087251663208008,0.0,1,True,2
3,WeightedEnsemble_L2_DSTL,0.8235294117647058,1.0,soft_log_loss,0.0466609001159668,0.0,224.3576271533966,0.0,0.0,0.030226469039916992,2,True,19
4,CatBoost_DSTL,0.8235294117647058,1.0,soft_log_loss,0.0466609001159668,0.0,224.3274006843567,0.0466609001159668,0.0,224.3274006843567,1,True,17
5,ExtraTreesEntr,0.8235294117647058,0.9444444444444444,accuracy,0.0801694393157959,0.05958437919616699,0.9260044097900391,0.0801694393157959,0.05958437919616699,0.9260044097900391,1,True,10
2,KNeighborsUnif,0.8235294117647058,0.8333333333333334,accuracy,0.005074977874755859,0.24143457412719727,2.6887521743774414,0.005074977874755859,0.24143457412719727,2.6887521743774414,1,True,1
11,WeightedEnsemble_2_L2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.05118060111999512,0.006850481033325195,205.11629796028137,0.0,0.0,0.02977609634399414,2,True,24
12,CatBoost_2_DSTL,0.7647058823529411,1.0,soft_log_loss,0.05118060111999512,0.006850481033325195,205.08652186393738,0.05118060111999512,0.006850481033325195,205.08652186393738,1,True,22
6,CatBoost,0.7647058823529411,0.9444444444444444,accuracy,0.0061054229736328125,0.0,1.832942247390747,0.0061054229736328125,0.0,1.832942247390747,1,True,8
7,NeuralNetTorch_2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.014487504959106445,0.01302790641784668,2.212425470352173,0.014487504959106445,0.01302790641784668,2.212425470352173,1,True,23
8,LightGBM_2_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.019602060317993164,0.0,1.2135124206542969,0.019602060317993164,0.0,1.2135124206542969,1,True,20
9,NeuralNetTorch,0.7647058823529411,0.9444444444444444,accuracy,0.01982426643371582,0.018207550048828125,8.743173360824585,0.01982426643371582,0.018207550048828125,8.743173360824585,1,True,12
10,NeuralNetTorch_DSTL,0.7647058823529411,0.9444444444444444,soft_log_loss,0.020203828811645508,0.015110254287719727,3.243036985397339,0.020203828811645508,0.015110254287719727,3.243036985397339,1,True,18
13,ExtraTreesGini,0.7647058823529411,0.9444444444444444,accuracy,0.06140255928039551,0.09647417068481445,0.9415831565856934,0.06140255928039551,0.09647417068481445,0.9415831565856934,1,True,9
14,RandomForestGini,0.7647058823529411,0.9444444444444444,accuracy,0.08603692054748535,0.0699164867401123,1.153991460800171,0.08603692054748535,0.0699164867401123,1.153991460800171,1,True,6
16,WeightedEnsemble_L2,0.7058823529411765,1.0,accuracy,0.015217304229736328,0.010646820068359375,1.6358344554901123,0.0,0.0,0.11922454833984375,2,True,14
17,NeuralNetFastAI,0.7058823529411765,1.0,accuracy,0.015217304229736328,0.010646820068359375,1.5166099071502686,0.015217304229736328,0.010646820068359375,1.5166099071502686,1,True,3
15,LightGBMLarge,0.7058823529411765,0.9444444444444444,accuracy,0.013890743255615234,0.0,1.0123710632324219,0.013890743255615234,0.0,1.0123710632324219,1,True,13
18,LightGBM_DSTL,0.7058823529411765,0.9444444444444444,soft_log_loss,0.016549110412597656,0.0,1.3718836307525635,0.016549110412597656,0.0,1.3718836307525635,1,True,15
19,RandomForestEntr,0.7058823529411765,0.9444444444444444,accuracy,0.07023906707763672,0.05618405342102051,1.0440149307250977,0.07023906707763672,0.05618405342102051,1.0440149307250977,1,True,7
21,RandomForestMSE_DSTL,0.7058823529411765,0.9444444444444444,soft_log_loss,0.11308073997497559,0.05598020553588867,0.9192297458648682,0.11308073997497559,0.05598020553588867,0.9192297458648682,1,True,16
20,RandomForestMSE_2_DSTL,0.7058823529411765,0.8888888888888888,soft_log_loss,0.09007787704467773,0.07697176933288574,0.8003547191619873,0.09007787704467773,0.07697176933288574,0.8003547191619873,1,True,21
22,LightGBMXT,0.6470588235294118,0.9444444444444444,accuracy,0.0019979476928710938,0.002024412155151367,0.5808806419372559,0.0019979476928710938,0.002024412155151367,0.5808806419372559,1,True,4
23,XGBoost,0.6470588235294118,0.9444444444444444,accuracy,0.025272130966186523,0.0008983612060546875,0.5360608100891113,0.025272130966186523,0.0008983612060546875,0.5360608100891113,1,True,11
