,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
17,CatBoost_2_DSTL,0.673913043,0.838709677,soft_log_loss,0.010107279,0.00156498,16.16596961,0.010107279,0.00156498,16.16596961,1,TRUE,32
33,CatBoost_BAG_L1,,0.873786408,accuracy,,0.016008377,24.28878808,,0.016008377,24.28878808,1,FALSE,6
15,CatBoost_BAG_L1_FULL,0.673913043,,accuracy,0.006695271,,2.225529671,0.006695271,,2.225529671,1,TRUE,18
18,CatBoost_DSTL,0.673913043,0.838709677,soft_log_loss,0.01158452,0,20.66361761,0.01158452,0,20.66361761,1,TRUE,27
14,ExtraTreesEntr_BAG_L1,0.695652174,0.893203883,accuracy,0.101043224,0.105135441,0.758571386,0.101043224,0.105135441,0.758571386,1,TRUE,8
12,ExtraTreesEntr_BAG_L1_FULL,0.695652174,,accuracy,0.082715511,0.105135441,0.758571386,0.082715511,0.105135441,0.758571386,1,TRUE,20
11,ExtraTreesGini_BAG_L1,0.695652174,0.893203883,accuracy,0.07839489,0.088103533,0.867972612,0.07839489,0.088103533,0.867972612,1,TRUE,7
10,ExtraTreesGini_BAG_L1_FULL,0.695652174,,accuracy,0.074304104,0.088103533,0.867972612,0.074304104,0.088103533,0.867972612,1,TRUE,19
1,LightGBM_2_DSTL,0.717391304,0.870967742,soft_log_loss,0.003005266,0.001000881,1.152376413,0.003005266,0.001000881,1.152376413,1,TRUE,30
29,LightGBM_BAG_L1,,0.896440129,accuracy,,0.009708166,3.049304247,,0.009708166,3.049304247,1,FALSE,3
6,LightGBM_BAG_L1_FULL,0.695652174,,accuracy,0.010006428,,0.280909061,0.010006428,,0.280909061,1,TRUE,15
7,LightGBM_DSTL,0.695652174,0.838709677,soft_log_loss,0.015636921,0,1.362114668,0.015636921,0,1.362114668,1,TRUE,25
28,LightGBMLarge_BAG_L1,,0.899676375,accuracy,,0.010947227,4.829864264,,0.010947227,4.829864264,1,FALSE,11
25,LightGBMLarge_BAG_L1_FULL,0.608695652,,accuracy,0.020104408,,0.531865835,0.020104408,,0.531865835,1,TRUE,23
30,LightGBMXT_BAG_L1,,0.893203883,accuracy,,0.009555817,2.666022539,,0.009555817,2.666022539,1,FALSE,2
2,LightGBMXT_BAG_L1_FULL,0.717391304,,accuracy,0.010090351,,0.293106079,0.010090351,,0.293106079,1,TRUE,14
27,NeuralNetFastAI_BAG_L1,,0.902912621,accuracy,,0.107444048,8.72844243,,0.107444048,8.72844243,1,FALSE,1
16,NeuralNetFastAI_BAG_L1_FULL,0.673913043,,accuracy,0.006886959,,0.440004587,0.006886959,,0.440004587,1,TRUE,13
23,NeuralNetTorch_2_DSTL,0.630434783,0.774193548,soft_log_loss,0.025663137,0.020397186,3.235673666,0.025663137,0.020397186,3.235673666,1,TRUE,33
32,NeuralNetTorch_BAG_L1,,0.883495146,accuracy,,0.149202824,31.64934278,,0.149202824,31.64934278,1,FALSE,10
19,NeuralNetTorch_BAG_L1_FULL,0.673913043,,accuracy,0.018391132,,10.26215243,0.018391132,,10.26215243,1,TRUE,22
20,NeuralNetTorch_DSTL,0.673913043,0.774193548,soft_log_loss,0.022048712,0.010070324,3.02338028,0.022048712,0.010070324,3.02338028,1,TRUE,28
9,RandomForestEntr_BAG_L1,0.695652174,0.86407767,accuracy,0.07396245,0.11843729,0.834222078,0.07396245,0.11843729,0.834222078,1,TRUE,5
13,RandomForestEntr_BAG_L1_FULL,0.695652174,,accuracy,0.099171638,0.11843729,0.834222078,0.099171638,0.11843729,0.834222078,1,TRUE,17
4,RandomForestGini_BAG_L1,0.717391304,0.86407767,accuracy,0.095579863,0.089583874,0.857883453,0.095579863,0.089583874,0.857883453,1,TRUE,4
5,RandomForestGini_BAG_L1_FULL,0.717391304,,accuracy,0.097170353,0.089583874,0.857883453,0.097170353,0.089583874,0.857883453,1,TRUE,16
24,RandomForestMSE_2_DSTL,0.630434783,0.806451613,soft_log_loss,0.170061827,0.0615201,0.800543547,0.170061827,0.0615201,0.800543547,1,TRUE,31
22,RandomForestMSE_DSTL,0.652173913,0.806451613,soft_log_loss,0.140054941,0.066279173,0.885648489,0.140054941,0.066279173,0.885648489,1,TRUE,26
8,WeightedEnsemble_2_L2_DSTL,0.695652174,0.85483871,soft_log_loss,0.018204927,0.002565861,17.34906149,0.005092382,0,0.030715466,2,TRUE,34
26,WeightedEnsemble_L2,,0.915857605,accuracy,,0.301683187,10.52934003,,0.001000166,0.1743536,2,FALSE,12
3,WeightedEnsemble_L2_DSTL,0.717391304,0.85483871,soft_log_loss,0.028394938,0,22.11201739,0.001173496,0,0.086285114,2,TRUE,29
0,WeightedEnsemble_L2_FULL,0.739130435,,accuracy,0.163906574,,2.240902185,0,,0.1743536,2,TRUE,24
31,XGBoost_BAG_L1,,0.883495146,accuracy,,0.011521578,3.248828411,,0.011521578,3.248828411,1,FALSE,9
21,XGBoost_BAG_L1_FULL,0.652173913,,accuracy,0,,0.111098289,0,,0.111098289,1,TRUE,21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,RandomForestEntr_BAG_L1,0.696 ,0.864 ,,,,,,,,,,
