,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetFastAI_r172_BAG_L1_FULL,0.7608695652173914,,accuracy,0.01738882064819336,,1.7662022113800049,0.01738882064819336,,1.7662022113800049,1,True,196
1,LightGBM_2_DSTL,0.7391304347826086,0.8709677419354839,soft_log_loss,0.010234594345092773,0.0,1.2698619365692139,0.010234594345092773,0.0,1.2698619365692139,1,True,222
2,LightGBM_DSTL,0.7391304347826086,0.8387096774193549,soft_log_loss,0.015794754028320312,0.004034519195556641,1.6703770160675049,0.015794754028320312,0.004034519195556641,1.6703770160675049,1,True,217
3,WeightedEnsemble_L2_DSTL,0.7391304347826086,0.8387096774193549,soft_log_loss,0.10781621932983398,0.05872058868408203,25.023489952087402,0.0,0.0015671253204345703,0.03601717948913574,2,True,221
11,ExtraTreesGini_BAG_L1,0.717391304347826,0.889967637540453,accuracy,0.06942892074584961,0.09715008735656738,0.8290631771087646,0.06942892074584961,0.09715008735656738,0.8290631771087646,1,True,9
12,ExtraTrees_r49_BAG_L1,0.717391304347826,0.889967637540453,accuracy,0.07434821128845215,0.12315607070922852,1.1113009452819824,0.07434821128845215,0.12315607070922852,1.1113009452819824,1,True,56
15,RandomForestGini_BAG_L1,0.717391304347826,0.8640776699029126,accuracy,0.09365391731262207,0.12339949607849121,0.9514319896697998,0.09365391731262207,0.12339949607849121,0.9514319896697998,1,True,6
18,ExtraTrees_r172_BAG_L1,0.717391304347826,0.8446601941747572,accuracy,0.10703897476196289,0.13138842582702637,1.0178263187408447,0.10703897476196289,0.13138842582702637,1.0178263187408447,1,True,36
10,WeightedEnsemble_2_L2_DSTL,0.717391304347826,0.8387096774193549,soft_log_loss,0.021544456481933594,0.0050487518310546875,19.87014675140381,0.0015742778778076172,0.0,0.030414342880249023,2,True,226
13,RandomForestMSE_DSTL,0.717391304347826,0.8064516129032258,soft_log_loss,0.08080387115478516,0.05311894416809082,0.911980152130127,0.08080387115478516,0.05311894416809082,0.911980152130127,1,True,218
4,CatBoost_r5_BAG_L1_FULL,0.717391304347826,,accuracy,0.00208282470703125,,0.9241540431976318,0.00208282470703125,,0.9241540431976318,1,True,179
5,LightGBM_r196_BAG_L1_FULL,0.717391304347826,,accuracy,0.010243892669677734,,0.3040738105773926,0.010243892669677734,,0.3040738105773926,1,True,152
6,XGBoost_r98_BAG_L1_FULL,0.717391304347826,,accuracy,0.010298013687133789,,0.14427542686462402,0.010298013687133789,,0.14427542686462402,1,True,157
7,NeuralNetFastAI_r145_BAG_L1_FULL,0.717391304347826,,accuracy,0.01391458511352539,,0.6479580402374268,0.01391458511352539,,0.6479580402374268,1,True,136
8,LightGBMXT_BAG_L1_FULL,0.717391304347826,,accuracy,0.015251874923706055,,0.3495028018951416,0.015251874923706055,,0.3495028018951416,1,True,112
9,NeuralNetFastAI_r103_BAG_L1_FULL,0.717391304347826,,accuracy,0.01860499382019043,,0.7221572399139404,0.01860499382019043,,0.7221572399139404,1,True,146
14,ExtraTreesGini_BAG_L1_FULL,0.717391304347826,,accuracy,0.08524107933044434,0.09715008735656738,0.8290631771087646,0.08524107933044434,0.09715008735656738,0.8290631771087646,1,True,117
16,ExtraTrees_r49_BAG_L1_FULL,0.717391304347826,,accuracy,0.10006213188171387,0.12315607070922852,1.1113009452819824,0.10006213188171387,0.12315607070922852,1.1113009452819824,1,True,164
