,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost,0.6521739130434783,0.8064516129032258,accuracy,0.01969313621520996,0.006122589111328125,0.6617550849914551,0.01969313621520996,0.006122589111328125,0.6617550849914551,1,True,1
1,RandomForestGini,0.7608695652173914,0.8225806451612904,accuracy,0.10427236557006836,0.0685422420501709,0.90024733543396,0.10427236557006836,0.0685422420501709,0.90024733543396,1,True,1
0,RandomForestGini,0.717391304347826,0.8225806451612904,accuracy,0.12560582160949707,0.06631231307983398,0.7665126323699951,0.12560582160949707,0.06631231307983398,0.7665126323699951,1,True,1
0,RandomForestEntr,0.782608695652174,0.8225806451612904,accuracy,0.09894275665283203,0.06842279434204102,0.8518733978271484,0.09894275665283203,0.06842279434204102,0.8518733978271484,1,True,2
2,RandomForestEntr,0.6739130434782609,0.8225806451612904,accuracy,0.0824120044708252,0.07072567939758301,0.858323335647583,0.0824120044708252,0.07072567939758301,0.858323335647583,1,True,2
0,NeuralNetTorch,0.6304347826086957,0.8548387096774194,accuracy,0.051654815673828125,0.020964384078979492,10.17591381072998,0.051654815673828125,0.020964384078979492,10.17591381072998,1,True,1
0,NeuralNetFastAI,0.6086956521739131,0.8709677419354839,accuracy,0.019646406173706055,0.012657403945922852,2.9634151458740234,0.019646406173706055,0.012657403945922852,2.9634151458740234,1,True,1
0,LightGBMXT,0.6956521739130435,0.8548387096774194,accuracy,0.004551887512207031,0.0010001659393310547,0.8992900848388672,0.004551887512207031,0.0010001659393310547,0.8992900848388672,1,True,1
0,LightGBMXT,0.6956521739130435,0.8548387096774194,accuracy,0.007520914077758789,0.0017132759094238281,0.764124870300293,0.007520914077758789,0.0017132759094238281,0.764124870300293,1,True,1
0,LightGBMXT,0.6739130434782609,0.8709677419354839,accuracy,0.015652179718017578,0.001999378204345703,1.227271556854248,0.015652179718017578,0.001999378204345703,1.227271556854248,1,True,1
3,LightGBMLarge,0.6086956521739131,0.8387096774193549,accuracy,0.0,0.000997304916381836,1.1795754432678223,0.0,0.000997304916381836,1.1795754432678223,1,True,3
3,LightGBMLarge,0.5869565217391305,0.8225806451612904,accuracy,0.0038340091705322266,0.0,1.229304552078247,0.0038340091705322266,0.0,1.229304552078247,1,True,3
3,LightGBMLarge,0.5652173913043478,0.8709677419354839,accuracy,0.0009961128234863281,0.0,0.9744503498077393,0.0009961128234863281,0.0,0.9744503498077393,1,True,3
1,LightGBM,0.6739130434782609,0.8870967741935484,accuracy,0.005397319793701172,0.0009996891021728516,0.7699759006500244,0.005397319793701172,0.0009996891021728516,0.7699759006500244,1,True,2
1,LightGBM,0.6521739130434783,0.9032258064516129,accuracy,0.006001949310302734,0.0,0.7353861331939697,0.006001949310302734,0.0,0.7353861331939697,1,True,2
1,LightGBM,0.6521739130434783,0.8709677419354839,accuracy,0.0,0.0,0.6889338493347168,0.0,0.0,0.6889338493347168,1,True,2
0,KNeighborsUnif,0.34782608695652173,0.6129032258064516,accuracy,0.0029993057250976562,0.2897224426269531,2.751866102218628,0.0029993057250976562,0.2897224426269531,2.751866102218628,1,True,1
0,KNeighborsUnif,0.34782608695652173,0.6129032258064516,accuracy,0.0019998550415039062,0.0,0.0025076866149902344,0.0019998550415039062,0.0,0.0025076866149902344,1,True,1
1,KNeighborsDist,0.34782608695652173,0.7258064516129032,accuracy,0.0047321319580078125,0.0,0.015340089797973633,0.0047321319580078125,0.0,0.015340089797973633,1,True,2
1,KNeighborsDist,0.34782608695652173,0.7258064516129032,accuracy,0.005620241165161133,0.0,0.008569478988647461,0.005620241165161133,0.0,0.008569478988647461,1,True,2
1,ExtraTreesGini,0.6956521739130435,0.8870967741935484,accuracy,0.10573887825012207,0.06665635108947754,0.9387350082397461,0.10573887825012207,0.06665635108947754,0.9387350082397461,1,True,1
0,ExtraTreesGini,0.6956521739130435,0.8548387096774194,accuracy,0.10506963729858398,0.06667637825012207,0.862377405166626,0.10506963729858398,0.06667637825012207,0.862377405166626,1,True,1
0,ExtraTreesEntr,0.717391304347826,0.8548387096774194,accuracy,0.09312701225280762,0.06414031982421875,0.8429076671600342,0.09312701225280762,0.06414031982421875,0.8429076671600342,1,True,2
2,ExtraTreesEntr,0.6956521739130435,0.8225806451612904,accuracy,0.11009812355041504,0.06736230850219727,0.8367640972137451,0.11009812355041504,0.06736230850219727,0.8367640972137451,1,True,2
0,CatBoost,0.6304347826086957,0.8064516129032258,accuracy,0.004190921783447266,0.0,2.6604654788970947,0.004190921783447266,0.0,2.6604654788970947,1,True,1
