,importance,stddev,p_value,n,p99_high,p99_low
L23_depth_normalized,0.26213592233009714,0.01447293189320255,1.1105498698495712e-06,5,0.2919358891353781,0.2323359555248162
FAP_avg_downstroke,0.005825242718446666,0.0027076376263238766,0.0042904593609622635,5,0.011400306014576554,0.0002501794223167776
TS1_adp_index,0.00517799352750814,0.001772564911019934,0.001418922963367112,5,0.008827729178748833,0.0015282578762674478
FAP_num_APs,0.0045307443365696365,0.001772564911019934,0.002317919708951998,5,0.00818047998781033,0.0008810086853289442
TS2_peak,0.0045307443365696365,0.001772564911019934,0.002317919708951998,5,0.00818047998781033,0.0008810086853289442
input_resistance,0.003883495145631133,0.004800128470612098,0.07235199930316316,5,0.01376702601144743,-0.006000035720185164
FAP_avg_upstroke,0.003883495145631133,0.0035451298220399445,0.035241998455109315,5,0.011182966448112676,-0.0034159761568504105
vmbaseM,0.003883495145631133,0.0014472931893202352,0.0019412685234800507,5,0.0068634918261591855,0.0009034984651030797
TS1_num_APs,0.003236245954692607,0.002288371460150651,0.01705471158370427,5,0.007948034419797582,-0.001475542510412368
sag,0.003236245954692585,0.0032362459546925737,0.04450467125004244,5,0.009899721105077149,-0.0034272291956919795
FAP_maxdownstroke,0.0025889967637541035,0.0014472931893202846,0.008065044950046259,5,0.005568993444282258,-0.0003909999167740516
TS2_maxdownstroke,0.0025889967637541035,0.0014472931893202846,0.008065044950046259,5,0.005568993444282258,-0.0003909999167740516
TS2_avg_upstroke,0.0025889967637541035,0.0014472931893202846,0.008065044950046259,5,0.005568993444282258,-0.0003909999167740516
TS1_avg_downstroke,0.0025889967637540813,0.00270763762632389,0.04965034160686265,5,0.008164060059883998,-0.002986066532375835
FAP_threshold,0.0012944983818770738,0.002894586378640526,0.18695048315002255,5,0.007254491742933295,-0.004665494979179147
TS1_maxupstroke,0.0012944983818770517,0.0017725649110199948,0.08890390417811063,5,0.004944234033117869,-0.0023552372693637653
TS2_rheobase,0.0006472491909385702,0.003545129822039929,0.35199999999998816,5,0.00794672049342008,-0.00665222211154294
TS2_threshold,0.0006472491909385481,0.00270763762632389,0.3106541475187402,5,0.006222312487068464,-0.004927814105191369
TS2_num_APs,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
TS1_maxdownstroke,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
VmatSag,0.0006472491909385259,0.0014472931893202848,0.1869504831500295,5,0.0036272458714666812,-0.0023327474895896297
TS1_up_down_ratio,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
TS1_avg_upstroke,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
FAP_up_down_ratio,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
TS2_adp_index,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
FAP_halfwidth,4.4408920985006264e-17,0.0032362459546925737,0.49999999999998845,5,0.006663475150384609,-0.00666347515038452
tau,0.0,0.0,0.5,5,0.0,0.0
FAP_maxupstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_peak,0.0,0.0,0.5,5,0.0,0.0
TS2_maxupstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_downstroke,-0.0006472491909384814,0.0027076376263238766,0.6893458524812432,5,0.004927814105191408,-0.00622231248706837
FAP_rheobase,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
TS1_rheobase,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
TS1_halfwidth,-0.001941747572815511,0.00289458637864047,0.8960000000000001,5,0.0040182457882405945,-0.007901740933871616
TS2_up_down_ratio,-0.001941747572815511,0.001772564911019934,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
TS1_threshold,-0.0025889967637540146,0.0027076376263238367,0.9503496583931367,5,0.0029860665323757926,-0.008164060059883821
