,importance,stddev,p_value,n,p99_high,p99_low
FAP_avg_upstroke,0.0025889967637541035,0.0014472931893202846,0.008065044950046259,5,0.005568993444282258,-0.0003909999167740516
L23_depth_normalized,0.0025889967637541035,0.0048001284706121125,0.1471281840122098,5,0.01247252762957043,-0.007294534102062223
tau,0.0012944983818770517,0.0017725649110199948,0.08890390417811063,5,0.004944234033117869,-0.0023552372693637653
FAP_avg_downstroke,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
FAP_num_APs,0.0006472491909385259,0.0014472931893202848,0.1869504831500295,5,0.0036272458714666812,-0.0023327474895896297
FAP_maxupstroke,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
TS2_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
TS1_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_num_APs,0.0,0.0,0.5,5,0.0,0.0
TS2_threshold,-0.0006472491909384814,0.0027076376263238766,0.6893458524812432,5,0.004927814105191408,-0.00622231248706837
FAP_peak,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
TS2_peak,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
TS1_avg_upstroke,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
input_resistance,-0.0012944983818769852,0.0028945863786405132,0.8130495168499636,5,0.004665494979179209,-0.00725449174293318
FAP_maxdownstroke,-0.0012944983818770073,0.001772564911019934,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS1_maxdownstroke,-0.0012944983818770073,0.001772564911019934,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS2_avg_upstroke,-0.0012944983818770073,0.001772564911019934,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS2_maxdownstroke,-0.0012944983818770073,0.0017725649110199339,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS1_num_APs,-0.0012944983818770073,0.001772564911019934,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS2_maxupstroke,-0.001941747572815511,0.001772564911019934,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
sag,-0.001941747572815511,0.0017725649110199339,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
FAP_up_down_ratio,-0.001941747572815511,0.0017725649110199339,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
TS1_maxupstroke,-0.001941747572815511,0.001772564911019934,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
FAP_rheobase,-0.001941747572815511,0.00289458637864047,0.8960000000000001,5,0.0040182457882405945,-0.007901740933871616
TS2_adp_index,-0.001941747572815511,0.001772564911019934,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
TS1_adp_index,-0.0025889967637540146,0.001447293189320235,0.9919349550499538,5,0.00039099991677403814,-0.005568993444282067
TS2_up_down_ratio,-0.0025889967637540146,0.0014472931893202352,0.9919349550499538,5,0.0003909999167740386,-0.005568993444282067
vmbaseM,-0.0025889967637540146,0.0014472931893202352,0.9919349550499538,5,0.0003909999167740386,-0.005568993444282067
TS1_threshold,-0.0025889967637540146,0.001447293189320235,0.9919349550499538,5,0.00039099991677403814,-0.005568993444282067
FAP_threshold,-0.003236245954692518,0.0,0.5,5,-0.003236245954692518,-0.003236245954692518
TS1_up_down_ratio,-0.003236245954692518,0.0,0.5,5,-0.003236245954692518,-0.003236245954692518
TS2_rheobase,-0.003236245954692518,0.0,0.5,5,-0.003236245954692518,-0.003236245954692518
FAP_halfwidth,-0.003236245954692518,0.003236245954692518,0.9554953287499572,5,0.003427229195691932,-0.009899721105076968
VmatSag,-0.003236245954692518,0.002288371460150612,0.9829452884162951,5,0.0014755425104123763,-0.007948034419797412
TS1_halfwidth,-0.003883495145631022,0.0027076376263238367,0.9836610383315985,5,0.0016915681504987854,-0.009458558441760828
TS1_rheobase,-0.0045307443365695255,0.001772564911019934,0.9976820802910478,5,-0.0008810086853288331,-0.008180479987810218
