,importance,stddev,p_value,n,p99_high,p99_low
TS1_adp_index,0.0071197411003236285,0.004219548482331808,0.009777106360152261,5,0.015807849745802603,-0.0015683675451553455
TS1_avg_downstroke,0.0032362459546925624,0.0032362459546925733,0.04450467125004319,5,0.009899721105077126,-0.003427229195692001
input_resistance,0.0032362459546925403,0.003963575635571484,0.0709637238870284,5,0.011397302970771288,-0.004924811061386206
TS2_rheobase,0.0032362459546925403,0.002288371460150651,0.01705471158370533,5,0.007948034419797516,-0.0014755425104124348
TS2_maxupstroke,0.0032362459546925403,0.002288371460150651,0.01705471158370533,5,0.007948034419797516,-0.0014755425104124348
L23_depth_normalized,0.0025889967637540367,0.004800128470612064,0.14712818401221317,5,0.012472527629570263,-0.007294534102062189
FAP_maxupstroke,0.0025889967637540146,0.0014472931893202352,0.008065044950046266,5,0.005568993444282067,-0.0003909999167740386
TS1_avg_upstroke,0.0025889967637540146,0.001447293189320235,0.008065044950046259,5,0.005568993444282067,-0.00039099991677403814
FAP_avg_upstroke,0.001941747572815511,0.001772564911019934,0.035241998455109974,5,0.005591483224056204,-0.0017079880784251814
VmatSag,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
TS2_threshold,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
tau,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
TS2_adp_index,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
FAP_peak,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
TS1_maxupstroke,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
FAP_avg_downstroke,0.0006472491909385036,0.0014472931893202352,0.1869504831500295,5,0.0036272458714665568,-0.0023327474895895495
TS2_up_down_ratio,0.0006472491909385036,0.0014472931893202352,0.1869504831500295,5,0.0036272458714665568,-0.0023327474895895495
vmbaseM,0.0006472491909385036,0.001447293189320235,0.18695048315002946,5,0.0036272458714665563,-0.002332747489589549
TS1_halfwidth,0.0006472491909385036,0.001447293189320235,0.18695048315002946,5,0.0036272458714665563,-0.002332747489589549
FAP_num_APs,0.0006472491909385036,0.001447293189320235,0.18695048315002946,5,0.0036272458714665563,-0.002332747489589549
TS1_threshold,0.0006472491909385036,0.0014472931893202352,0.1869504831500295,5,0.0036272458714665568,-0.0023327474895895495
sag,0.0,0.0,0.5,5,0.0,0.0
TS1_maxdownstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_halfwidth,0.0,0.002288371460150612,0.5,5,0.0047117884651048944,-0.0047117884651048944
FAP_maxdownstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_threshold,0.0,0.002288371460150612,0.5,5,0.0047117884651048944,-0.0047117884651048944
TS2_num_APs,0.0,0.0,0.5,5,0.0,0.0
TS2_peak,0.0,0.0,0.5,5,0.0,0.0
TS2_maxdownstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_upstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
TS1_rheobase,-2.2204460492503132e-17,0.004576742920301263,0.500000000000004,5,0.009423576930209846,-0.009423576930209891
FAP_up_down_ratio,-0.0006472491909385036,0.0027076376263238367,0.6893458524812515,5,0.0049278141051913036,-0.006222312487068311
TS1_up_down_ratio,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
FAP_rheobase,-0.0012944983818770073,0.001772564911019934,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS1_num_APs,-0.0012944983818770073,0.00289458637864047,0.8130495168499705,5,0.004665494979179098,-0.007254491742933113
