,importance,stddev,p_value,n,p99_high,p99_low
TS2_rheobase,0.1527508090614887,0.011978482539366807,4.500925808893391e-06,5,0.17741467017026788,0.1280869479527095
TS1_rheobase,0.08090614886731395,0.012944983818770205,7.602926828265275e-05,5,0.10756004946885203,0.054252248265775876
TS1_avg_upstroke,0.0381877022653722,0.0149007953828108,0.0022957770858627905,5,0.0688686459094584,0.007506758621285997
input_resistance,0.0375404530744337,0.013460604752806124,0.0016843531290143812,5,0.06525602430579039,0.009824881843077005
FAP_avg_upstroke,0.03624595469255667,0.01592022508252278,0.003513498941074516,5,0.06902591817836565,0.00346599120674769
FAP_rheobase,0.03365695792880261,0.006308604753921676,0.00014142948741302633,5,0.04664646231131124,0.02066745354629398
TS2_avg_upstroke,0.022006472491909436,0.013806297092363454,0.011749051986318178,5,0.05043382902839057,-0.006420884044571692
FAP_maxupstroke,0.02006472491909388,0.014900795382810765,0.01975599274229173,5,0.05074566856318002,-0.010616218724992257
TS1_maxupstroke,0.011003236245954718,0.01627802762454278,0.10259848778672642,5,0.04451992011113956,-0.02251344761923012
TS2_maxupstroke,0.0012944983818770294,0.008439096964663615,0.3744342250117625,5,0.018670715672834973,-0.016081718909080917
FAP_maxdownstroke,4.4408920985006264e-17,0.010233908285334563,0.49999999999999634,5,0.021071758607148182,-0.02107175860714809
FAP_halfwidth,0.0,0.0,0.5,5,0.0,0.0
TS2_up_down_ratio,0.0,0.0,0.5,5,0.0,0.0
TS1_up_down_ratio,0.0,0.0,0.5,5,0.0,0.0
TS1_halfwidth,0.0,0.0,0.5,5,0.0,0.0
FAP_num_APs,0.0,0.0,0.5,5,0.0,0.0
sag,0.0,0.0,0.5,5,0.0,0.0
FAP_up_down_ratio,0.0,0.0,0.5,5,0.0,0.0
L23_depth_normalized,0.0,0.0,0.5,5,0.0,0.0
TS2_adp_index,0.0,0.0,0.5,5,0.0,0.0
TS1_adp_index,0.0,0.0,0.5,5,0.0,0.0
TS1_num_APs,-0.0012944983818770073,0.0017725649110199339,0.9110960958218894,5,0.002355237269363685,-0.0049442340331177
TS2_num_APs,-0.001941747572815511,0.00289458637864047,0.8960000000000001,5,0.0040182457882405945,-0.007901740933871616
FAP_avg_downstroke,-0.0025889967637540146,0.007379776214233925,0.7616896663635764,5,0.012606064460700478,-0.017784057988208507
TS2_maxdownstroke,-0.00453074433656957,0.007450397691405407,0.8772539815748506,5,0.010809727485473548,-0.019871216158612686
tau,-0.005177993527508052,0.005415275252647763,0.9503496583931351,5,0.005972133064751745,-0.01632812011976785
TS2_peak,-0.006472491909385081,0.005116954142667272,0.9762896722078399,5,0.004063387394188967,-0.017008371212959127
TS2_avg_downstroke,-0.006472491909385081,0.005116954142667272,0.9762896722078399,5,0.004063387394188967,-0.017008371212959127
FAP_threshold,-0.007119741100323563,0.0014472931893202846,0.9998059143307529,5,-0.0041397444197954075,-0.010099737780851718
TS1_avg_downstroke,-0.007119741100323584,0.006225043385654178,0.9685961944996486,5,0.005697709269981424,-0.01993719147062859
TS1_threshold,-0.007766990291262088,0.0017725649110199948,0.9996959075277683,5,-0.004117254640021271,-0.011416725942502905
FAP_peak,-0.008414239482200592,0.004908009996149864,0.9907187177492196,5,0.0016914209357791043,-0.01851989990018029
TS2_threshold,-0.010355987055016147,0.002707637626323877,0.9994869084080034,5,-0.004780923758886257,-0.015931050351146038
TS1_maxdownstroke,-0.011003236245954673,0.005878932726402902,0.9930694803516168,5,0.001101567493194273,-0.02310803998510362
vmbaseM,-0.012297734627831658,0.00578917275728103,0.9955145487507009,5,-0.0003777479057192612,-0.024217721349944054
VmatSag,-0.013592233009708687,0.00531769473305987,0.9976820802910478,5,-0.0026430260559864704,-0.024541439963430903
