,importance,stddev,p_value,n,p99_high,p99_low
L23_depth_normalized,0.08932038834951461,0.013460604752806091,6.006196053676227e-05,5,0.11703595958087123,0.06160481711815799
input_resistance,0.07637540453074436,0.007450397691405403,1.072987539056348e-05,5,0.09171587635278747,0.06103493270870125
TS2_num_APs,0.03430420711974116,0.008743855071913442,0.0004654665317687503,5,0.052307925565731175,0.01630048867375114
TS1_avg_downstroke,0.02524271844660202,0.00531769473305986,0.0002229768323703941,5,0.03619192540032422,0.014293511492879824
TS2_up_down_ratio,0.021359223300970932,0.004341879567960738,0.00019408566924700158,5,0.030299213342555156,0.012419233259386707
FAP_avg_upstroke,0.0200647249190939,0.0070160140416435975,0.0015350760409136883,5,0.03451079480245738,0.005618655035730419
TS2_rheobase,0.019417475728155376,0.0060544617908963325,0.001000949306745947,5,0.03188369623716579,0.006951255219144966
tau,0.01682847896440136,0.00270763762632389,7.771776179937166e-05,5,0.02240354226053128,0.011253415668271444
TS2_threshold,0.014886731391585828,0.0028945863786405137,0.00016321062818349576,5,0.020846724752642022,0.008926738030529633
vmbaseM,0.012297734627831791,0.0027076376263238367,0.00026465552402786145,5,0.017872797923961597,0.006722671331701984
FAP_threshold,0.010355987055016258,0.0027076376263238766,0.0005130915919966545,5,0.015931050351146146,0.004780923758886369
TS1_rheobase,0.00906148867313925,0.0014472931893202846,7.550570111090389e-05,5,0.012041485353667405,0.006081491992611095
TS1_maxupstroke,0.009061488673139228,0.005789172757280996,0.01244808173011098,5,0.020981475395251553,-0.002858498048973099
TS1_adp_index,0.008414239482200724,0.004908009996149908,0.009281282250780181,5,0.018519899900180513,-0.0016914209357790644
TS2_peak,0.00647249190938517,0.0022883714601506515,0.0015991010761676324,5,0.011184280374490145,0.001760703444280194
sag,0.005825242718446644,0.004800128470612098,0.026669130522844253,5,0.01570877358426294,-0.004058288147369653
TS1_num_APs,0.00517799352750814,0.001772564911019934,0.001418922963367112,5,0.008827729178748833,0.0015282578762674478
VmatSag,0.003883495145631133,0.003545129822039944,0.0352419984551093,5,0.011182966448112674,-0.003415976156850409
FAP_up_down_ratio,0.003236245954692629,0.0,0.5,5,0.003236245954692629,0.003236245954692629
TS1_maxdownstroke,0.0025889967637541035,0.0014472931893202848,0.008065044950046266,5,0.005568993444282259,-0.000390999916774052
FAP_maxdownstroke,0.0025889967637540813,0.00270763762632389,0.04965034160686265,5,0.008164060059883998,-0.002986066532375835
TS2_adp_index,0.0025889967637540813,0.00270763762632389,0.04965034160686265,5,0.008164060059883998,-0.002986066532375835
FAP_maxupstroke,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
FAP_peak,0.0006472491909385259,0.0014472931893202848,0.1869504831500295,5,0.0036272458714666812,-0.0023327474895896297
TS1_avg_upstroke,2.2204460492503132e-17,0.002288371460150651,0.4999999999999919,5,0.004711788465104998,-0.0047117884651049526
TS1_up_down_ratio,0.0,0.0,0.5,5,0.0,0.0
TS2_maxupstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_rheobase,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_num_APs,0.0,0.0,0.5,5,0.0,0.0
TS1_halfwidth,0.0,0.0,0.5,5,0.0,0.0
TS1_threshold,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_upstroke,-0.0006472491909385036,0.001447293189320235,0.8130495168499705,5,0.002332747489589549,-0.0036272458714665563
FAP_halfwidth,-0.001941747572815511,0.001772564911019934,0.96475800154489,5,0.0017079880784251814,-0.005591483224056204
TS2_maxdownstroke,-0.003236245954692518,0.0,0.5,5,-0.003236245954692518,-0.003236245954692518
