,importance,stddev,p_value,n,p99_high,p99_low
L23_depth_normalized,0.23236245954692558,0.023269486099996836,1.1909117801373462e-05,5,0.28027465304529564,0.18445026604855552
TS1_avg_downstroke,0.01682847896440136,0.004800128470612072,0.0007150066906719428,5,0.026712009830217605,0.00694494809858512
tau,0.01682847896440136,0.004219548482331817,0.00043702864361861506,5,0.025516587609880355,0.00814037031892237
FAP_threshold,0.01553398058252431,0.001447293189320235,8.938535758669903e-06,5,0.018513977263052362,0.012553983901996257
TS2_rheobase,0.014886731391585828,0.0036898881071169417,0.00041809308534160767,5,0.02248426200381303,0.007289200779358625
input_resistance,0.014886731391585806,0.001772564911019934,2.3671566177124783e-05,5,0.018536467042826497,0.011236995740345113
sag,0.014239482200647302,0.004908009996149886,0.0014554051457073625,5,0.024345142618627046,0.0041338217826675586
TS2_threshold,0.012297734627831791,0.004800128470612098,0.0022985047611578987,5,0.022181265493648086,0.0024142037620154943
TS2_adp_index,0.012297734627831791,0.003545129822039868,0.000744316231946769,5,0.019597205930313177,0.0049982633253504065
TS2_peak,0.011650485436893288,0.001772564911019934,6.236301762079305e-05,5,0.01530022108813398,0.008000749785652595
FAP_avg_upstroke,0.010355987055016235,0.0042195484823318126,0.002685220990306237,5,0.01904409570049522,0.0016678784095372507
TS2_num_APs,0.008414239482200724,0.0036898881071169612,0.0034936873326597874,5,0.016011770094427967,0.0008167088699734806
FAP_up_down_ratio,0.006472491909385192,0.0032362459546925733,0.005528246696724902,5,0.013135967059769755,-0.00019098324099937197
TS2_up_down_ratio,0.006472491909385192,0.0032362459546925737,0.005528246696724907,5,0.013135967059769757,-0.00019098324099937284
FAP_peak,0.006472491909385147,0.0,0.5,5,0.006472491909385147,0.006472491909385147
FAP_avg_downstroke,0.005825242718446688,0.003545129822039929,0.010655820564378037,5,0.0131247140209282,-0.0014742285840348224
TS1_rheobase,0.005825242718446644,0.0014472931893202352,0.00042191625880060816,5,0.008805239398974696,0.0028452460379185906
TS1_maxupstroke,0.005825242718446644,0.001447293189320235,0.00042191625880060816,5,0.008805239398974696,0.002845246037918591
FAP_maxupstroke,0.00517799352750814,0.001772564911019934,0.001418922963367112,5,0.008827729178748833,0.0015282578762674478
TS1_num_APs,0.00517799352750814,0.0036898881071169803,0.017459853337269432,5,0.012775524139735421,-0.0024195370847191417
vmbaseM,0.0045307443365696365,0.001772564911019934,0.002317919708951998,5,0.00818047998781033,0.0008810086853289442
TS1_adp_index,0.0045307443365696365,0.001772564911019934,0.002317919708951998,5,0.00818047998781033,0.0008810086853289442
TS2_maxdownstroke,0.0038834951456311107,0.0027076376263238766,0.016338961668401073,5,0.009458558441761,-0.001691568150498778
FAP_num_APs,0.003236245954692629,0.0,0.5,5,0.003236245954692629,0.003236245954692629
TS2_avg_upstroke,0.003236245954692607,0.002288371460150651,0.01705471158370427,5,0.007948034419797582,-0.001475542510412368
FAP_rheobase,0.003236245954692607,0.002288371460150651,0.01705471158370427,5,0.007948034419797582,-0.001475542510412368
TS2_avg_downstroke,0.003236245954692585,0.0032362459546925737,0.04450467125004244,5,0.009899721105077149,-0.0034272291956919795
TS2_maxupstroke,0.0025889967637541035,0.0014472931893202846,0.008065044950046259,5,0.005568993444282258,-0.0003909999167740516
VmatSag,0.0019417475728155775,0.0017725649110199948,0.035241998455109974,5,0.0055914832240563945,-0.0017079880784252397
TS1_maxdownstroke,0.0019417475728155775,0.0017725649110199948,0.035241998455109974,5,0.0055914832240563945,-0.0017079880784252397
FAP_maxdownstroke,0.0019417475728155775,0.0017725649110199948,0.035241998455109974,5,0.0055914832240563945,-0.0017079880784252397
TS1_avg_upstroke,0.0012944983818770517,0.0017725649110199948,0.08890390417811063,5,0.004944234033117869,-0.0023552372693637653
TS1_up_down_ratio,0.0012944983818770517,0.0017725649110199948,0.08890390417811063,5,0.004944234033117869,-0.0023552372693637653
FAP_halfwidth,0.0012944983818770517,0.0017725649110199948,0.08890390417811063,5,0.004944234033117869,-0.0023552372693637653
TS1_threshold,0.0006472491909385259,0.0014472931893202846,0.18695048315002946,5,0.003627245871466681,-0.0023327474895896293
TS1_halfwidth,0.0,0.0,0.5,5,0.0,0.0
