,importance,stddev,p_value,n,p99_high,p99_low
L23_depth_normalized,0.3404530744336569,0.008058187442063951,3.763373596541349e-08,5,0.35704499375285303,0.3238611551144608
input_resistance,0.06278317152103556,0.010635389466119699,9.514484835977641e-05,5,0.08468158542847991,0.04088475761359121
TS1_avg_downstroke,0.042718446601941726,0.010586037044528235,0.00041773843737208827,5,0.0645152431912063,0.020921650012677154
TS1_maxupstroke,0.029126213592233018,0.008250840636881519,0.0006965339744413331,5,0.04611480850230866,0.012137618682157372
FAP_threshold,0.022006472491909367,0.0027076376263238766,2.6954179078417524e-05,5,0.027581535788039256,0.016431409195779477
tau,0.01941747572815531,0.003963575635571484,0.0001972461162616591,5,0.02757853274423406,0.011256418712076563
FAP_avg_upstroke,0.014239482200647236,0.006710822444442605,0.004503174805104729,5,0.02805715836717773,0.0004218060341167427
TS2_adp_index,0.013592233009708733,0.004219548482331817,0.0009845552946012338,5,0.022280341655187726,0.004904124364229741
TS1_adp_index,0.012944983818770229,0.005116954142667273,0.0024063391650220984,5,0.023480863122344278,0.0024091045151961796
sag,0.011650485436893199,0.005415275252647764,0.0042904593609624665,5,0.022800612029152997,0.000500358844633399
TS2_rheobase,0.011003236245954695,0.0036898881071169465,0.0013142725538403692,5,0.01860076685818191,0.003405705633727483
TS2_peak,0.005825242718446621,0.0014472931893202846,0.0004219162588006698,5,0.008805239398974776,0.002845246037918466
FAP_halfwidth,0.003236245954692518,0.006054461790896347,0.14900740586560773,5,0.01570246646370296,-0.009229974554317923
FAP_num_APs,0.003236245954692518,0.0,0.5,5,0.003236245954692518,0.003236245954692518
TS1_threshold,0.003236245954692518,0.0,0.5,5,0.003236245954692518,0.003236245954692518
vmbaseM,0.003236245954692518,0.0,0.5,5,0.003236245954692518,0.003236245954692518
TS2_up_down_ratio,0.0025889967637540367,0.0027076376263238766,0.04965034160686413,5,0.008164060059883925,-0.002986066532375852
TS1_up_down_ratio,0.0025889967637540146,0.001447293189320235,0.008065044950046259,5,0.005568993444282067,-0.00039099991677403814
TS2_threshold,0.0025889967637540146,0.001447293189320235,0.008065044950046259,5,0.005568993444282067,-0.00039099991677403814
FAP_up_down_ratio,0.001941747572815511,0.0036898881071169808,0.1522793923402716,5,0.009539278185042795,-0.005655783039411773
TS1_num_APs,0.0012944983818770073,0.001772564911019934,0.08890390417811063,5,0.0049442340331177,-0.002355237269363685
TS1_avg_upstroke,0.0012944983818769852,0.0028945863786405132,0.18695048315003632,5,0.00725449174293318,-0.004665494979179209
FAP_maxdownstroke,0.0006472491909385036,0.0014472931893202352,0.1869504831500295,5,0.0036272458714665568,-0.0023327474895895495
FAP_peak,0.0006472491909385036,0.001447293189320235,0.18695048315002946,5,0.0036272458714665563,-0.002332747489589549
TS2_avg_upstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_maxupstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_maxdownstroke,0.0,0.0,0.5,5,0.0,0.0
VmatSag,0.0,0.0,0.5,5,0.0,0.0
TS1_halfwidth,0.0,0.0,0.5,5,0.0,0.0
TS1_maxdownstroke,0.0,0.0,0.5,5,0.0,0.0
FAP_maxupstroke,0.0,0.0,0.5,5,0.0,0.0
TS2_num_APs,0.0,0.0,0.5,5,0.0,0.0
TS1_rheobase,0.0,0.0,0.5,5,0.0,0.0
FAP_rheobase,0.0,0.0,0.5,5,0.0,0.0
FAP_avg_downstroke,0.0,0.0,0.5,5,0.0,0.0
