,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.717391304347826,0.8,accuracy,0.0,0.0,1.0177135467529297,0.0,0.0,1.0177135467529297,1,True,13
1,CatBoost,0.6739130434782609,0.78,accuracy,0.0056455135345458984,0.0,4.4814817905426025,0.0056455135345458984,0.0,4.4814817905426025,1,True,8
2,NeuralNetTorch,0.6739130434782609,0.82,accuracy,0.020075321197509766,0.019796371459960938,6.490546464920044,0.020075321197509766,0.019796371459960938,6.490546464920044,1,True,12
3,RandomForestEntr,0.6739130434782609,0.76,accuracy,0.06302237510681152,0.07385635375976562,0.8719000816345215,0.06302237510681152,0.07385635375976562,0.8719000816345215,1,True,7
4,LightGBMXT,0.6521739130434783,0.78,accuracy,0.011714458465576172,0.0,0.4723823070526123,0.011714458465576172,0.0,0.4723823070526123,1,True,4
5,NeuralNetFastAI,0.6521739130434783,0.86,accuracy,0.012094497680664062,0.010053157806396484,2.3225975036621094,0.012094497680664062,0.010053157806396484,2.3225975036621094,1,True,3
6,RandomForestGini,0.6521739130434783,0.78,accuracy,0.1344623565673828,0.08394813537597656,0.9073023796081543,0.1344623565673828,0.08394813537597656,0.9073023796081543,1,True,6
7,WeightedEnsemble_L2,0.6304347826086957,0.88,accuracy,0.0,0.0,0.5300853252410889,0.0,0.0,0.13365888595581055,2,True,14
8,LightGBM,0.6304347826086957,0.88,accuracy,0.0,0.0,0.3964264392852783,0.0,0.0,0.3964264392852783,1,True,5
9,ExtraTreesGini,0.6304347826086957,0.82,accuracy,0.07861638069152832,0.07780694961547852,0.8816087245941162,0.07861638069152832,0.07780694961547852,0.8816087245941162,1,True,9
10,XGBoost,0.6086956521739131,0.78,accuracy,0.016706228256225586,0.0,0.4192159175872803,0.016706228256225586,0.0,0.4192159175872803,1,True,11
11,ExtraTreesEntr,0.6086956521739131,0.82,accuracy,0.0766761302947998,0.055389404296875,0.8842759132385254,0.0766761302947998,0.055389404296875,0.8842759132385254,1,True,10
12,KNeighborsUnif,0.43478260869565216,0.68,accuracy,0.0021212100982666016,0.2096865177154541,2.4594566822052,0.0021212100982666016,0.2096865177154541,2.4594566822052,1,True,1
13,KNeighborsDist,0.391304347826087,0.78,accuracy,0.0065805912017822266,0.0,0.015753746032714844,0.0065805912017822266,0.0,0.015753746032714844,1,True,2
