,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.8823529411764706,1.0,accuracy,0.003995418548583984,0.013139009475708008,0.7202556133270264,0.003995418548583984,0.013139009475708008,0.7202556133270264,1,True,13
1,XGBoost,0.8823529411764706,1.0,accuracy,0.01775503158569336,0.0,0.2773301601409912,0.01775503158569336,0.0,0.2773301601409912,1,True,11
2,LightGBMXT,0.8235294117647058,1.0,accuracy,0.0034804344177246094,0.0,0.40614986419677734,0.0034804344177246094,0.0,0.40614986419677734,1,True,4
3,NeuralNetFastAI,0.8235294117647058,0.9375,accuracy,0.013777732849121094,0.010102033615112305,1.10965895652771,0.013777732849121094,0.010102033615112305,1.10965895652771,1,True,3
4,ExtraTreesEntr,0.8235294117647058,1.0,accuracy,0.05908083915710449,0.045157432556152344,0.898787260055542,0.05908083915710449,0.045157432556152344,0.898787260055542,1,True,10
5,LightGBM,0.7647058823529411,1.0,accuracy,0.0,0.0,0.34506702423095703,0.0,0.0,0.34506702423095703,1,True,5
6,KNeighborsUnif,0.7647058823529411,0.6875,accuracy,0.0,0.21105241775512695,2.8032567501068115,0.0,0.21105241775512695,2.8032567501068115,1,True,1
7,KNeighborsDist,0.7647058823529411,0.9375,accuracy,0.00699305534362793,0.0,0.0030088424682617188,0.00699305534362793,0.0,0.0030088424682617188,1,True,2
8,NeuralNetTorch,0.7647058823529411,1.0,accuracy,0.012974977493286133,0.013257980346679688,5.54996919631958,0.012974977493286133,0.013257980346679688,5.54996919631958,1,True,12
9,RandomForestEntr,0.7647058823529411,1.0,accuracy,0.05532383918762207,0.08124566078186035,1.0372421741485596,0.05532383918762207,0.08124566078186035,1.0372421741485596,1,True,7
10,ExtraTreesGini,0.7647058823529411,1.0,accuracy,0.059625864028930664,0.08983278274536133,0.9159030914306641,0.059625864028930664,0.08983278274536133,0.9159030914306641,1,True,9
11,WeightedEnsemble_L2,0.7647058823529411,1.0,accuracy,0.0616302490234375,0.08983278274536133,1.0496022701263428,0.002004384994506836,0.0,0.1336991786956787,2,True,14
12,RandomForestGini,0.7647058823529411,1.0,accuracy,0.09382462501525879,0.10379219055175781,0.9642848968505859,0.09382462501525879,0.10379219055175781,0.9642848968505859,1,True,6
13,CatBoost,0.6470588235294118,1.0,accuracy,0.000545501708984375,0.0,1.7284977436065674,0.000545501708984375,0.0,1.7284977436065674,1,True,8
