,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.8235294117647058,1.0,accuracy,0.010101556777954102,0.010119915008544922,0.3882296085357666,0.010101556777954102,0.010119915008544922,0.3882296085357666,1,True,4
1,NeuralNetTorch,0.7647058823529411,1.0,accuracy,0.010116815567016602,0.01892566680908203,5.60120153427124,0.010116815567016602,0.01892566680908203,5.60120153427124,1,True,12
2,RandomForestEntr,0.7647058823529411,1.0,accuracy,0.053856849670410156,0.05907702445983887,0.9141445159912109,0.053856849670410156,0.05907702445983887,0.9141445159912109,1,True,7
3,ExtraTreesGini,0.7647058823529411,1.0,accuracy,0.07947492599487305,0.09588050842285156,0.9080922603607178,0.07947492599487305,0.09588050842285156,0.9080922603607178,1,True,9
4,ExtraTreesEntr,0.7647058823529411,1.0,accuracy,0.08689141273498535,0.04654574394226074,0.8748371601104736,0.08689141273498535,0.04654574394226074,0.8748371601104736,1,True,10
5,RandomForestGini,0.7647058823529411,1.0,accuracy,0.13115835189819336,0.09563660621643066,0.9402284622192383,0.13115835189819336,0.09563660621643066,0.9402284622192383,1,True,6
6,LightGBM,0.7058823529411765,1.0,accuracy,0.0,0.0,0.3151438236236572,0.0,0.0,0.3151438236236572,1,True,5
7,KNeighborsDist,0.7058823529411765,0.9375,accuracy,0.0,0.0,0.010095357894897461,0.0,0.0,0.010095357894897461,1,True,2
8,KNeighborsUnif,0.7058823529411765,0.875,accuracy,0.0,0.18359827995300293,2.5291216373443604,0.0,0.18359827995300293,2.5291216373443604,1,True,1
9,LightGBMLarge,0.7058823529411765,0.9375,accuracy,0.010137557983398438,0.00099945068359375,0.6544811725616455,0.010137557983398438,0.00099945068359375,0.6544811725616455,1,True,13
10,NeuralNetFastAI,0.7058823529411765,1.0,accuracy,0.015727519989013672,0.010048389434814453,1.2095637321472168,0.015727519989013672,0.010048389434814453,1.2095637321472168,1,True,3
11,XGBoost,0.7058823529411765,0.9375,accuracy,0.017271995544433594,0.0070497989654541016,0.3261725902557373,0.017271995544433594,0.0070497989654541016,0.3261725902557373,1,True,11
12,CatBoost,0.6470588235294118,1.0,accuracy,0.0,0.0,1.4398014545440674,0.0,0.0,1.4398014545440674,1,True,8
13,WeightedEnsemble_L2,0.6470588235294118,1.0,accuracy,0.010022401809692383,0.0,1.5726675987243652,0.010022401809692383,0.0,0.13286614418029785,2,True,14
