,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMXT,0.717391304347826,0.8571428571428571,accuracy,0.006997346878051758,0.0,0.5484538078308105,0.006997346878051758,0.0,0.5484538078308105,1,True,4
1,NeuralNetTorch,0.6956521739130435,0.9642857142857143,accuracy,0.020066022872924805,0.016932964324951172,6.820225477218628,0.020066022872924805,0.016932964324951172,6.820225477218628,1,True,12
2,ExtraTreesGini,0.6956521739130435,0.8928571428571429,accuracy,0.07435822486877441,0.09248876571655273,0.8699023723602295,0.07435822486877441,0.09248876571655273,0.8699023723602295,1,True,9
3,NeuralNetFastAI,0.6739130434782609,0.9464285714285714,accuracy,0.017998218536376953,0.010060548782348633,2.5887749195098877,0.017998218536376953,0.010060548782348633,2.5887749195098877,1,True,3
4,WeightedEnsemble_L2,0.6739130434782609,0.9821428571428571,accuracy,0.028573036193847656,0.21243786811828613,9.456981182098389,0.0,0.0,0.1329042911529541,2,True,14
5,RandomForestEntr,0.6521739130434783,0.8571428571428571,accuracy,0.06597661972045898,0.05446767807006836,0.8675460815429688,0.06597661972045898,0.05446767807006836,0.8675460815429688,1,True,7
6,RandomForestGini,0.6521739130434783,0.8928571428571429,accuracy,0.10008573532104492,0.06824922561645508,0.9179549217224121,0.10008573532104492,0.06824922561645508,0.9179549217224121,1,True,6
7,CatBoost,0.6304347826086957,0.8571428571428571,accuracy,0.007662057876586914,0.0,3.6952507495880127,0.007662057876586914,0.0,3.6952507495880127,1,True,8
8,ExtraTreesEntr,0.6304347826086957,0.875,accuracy,0.06673526763916016,0.06437826156616211,0.8739607334136963,0.06673526763916016,0.06437826156616211,0.8739607334136963,1,True,10
9,LightGBMLarge,0.6086956521739131,0.8928571428571429,accuracy,0.0,0.0,0.9818501472473145,0.0,0.0,0.9818501472473145,1,True,13
10,LightGBM,0.6086956521739131,0.8571428571428571,accuracy,0.003000497817993164,0.0,0.4433727264404297,0.003000497817993164,0.0,0.4433727264404297,1,True,5
11,XGBoost,0.5652173913043478,0.875,accuracy,0.0612032413482666,0.0,0.5266671180725098,0.0612032413482666,0.0,0.5266671180725098,1,True,11
12,KNeighborsUnif,0.34782608695652173,0.6785714285714286,accuracy,0.008507013320922852,0.19550490379333496,2.5038514137268066,0.008507013320922852,0.19550490379333496,2.5038514137268066,1,True,1
13,KNeighborsDist,0.32608695652173914,0.7678571428571429,accuracy,0.004369497299194336,0.0,0.010019063949584961,0.004369497299194336,0.0,0.010019063949584961,1,True,2
